file_id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,style1,style2,style3
여성가디건\여성가디건_images_20240904_105542\1.jpg,-5.821183204650879,-6.198287010192871,-1.3149080276489258,-7.524196624755859,-5.420194625854492,-5.967214584350586,-9.24890422821045,-6.100460052490234,-4.271601676940918,0.7025595903396606,서브컬처,페미니,캐주얼
여성가디건\여성가디건_images_20240904_105542\10.jpg,-0.6403930187225342,-4.3494110107421875,-3.8518500328063965,-3.5845580101013184,1.3118890523910522,-4.203773498535156,-3.4988110065460205,-5.907320976257324,-4.258267879486084,1.4633831977844238,클래식,컨템포러리,캐주얼
여성가디건\여성가디건_images_20240904_105542\100.jpg,-5.8296308517456055,-14.359729766845703,-10.774567604064941,-13.515628814697266,3.9718575477600098,-9.882611274719238,-8.172013282775879,-18.45948028564453,-5.377585411071777,8.426485061645508,서브컬처,컨템포러리,캐주얼
여성가디건\여성가디건_images_20240904_105542\101.jpg,-7.648782253265381,-8.554405212402344,-2.544532299041748,-9.932811737060547,1.8454447984695435,-3.5254364013671875,-9.837329864501953,-12.309175491333008,-3.8183977603912354,4.6955671310424805,페미니,컨템포러리,캐주얼
여성가디건\여성가디건_images_20240904_105542\102.jpg,-1.3188323974609375,-8.19377613067627,5.340623378753662,-6.630062580108643,-3.0052638053894043,-6.369325637817383,-12.297506332397461,-11.293418884277344,-6.239213943481445,-3.556131362915039,컨템포러리,클래식,페미니
여성가디건\여성가디건_images_20240904_105542\103.jpg,-3.028583526611328,-5.57120418548584,1.4405244588851929,-4.2623491287231445,-1.9861677885055542,-0.9521439075469971,-5.991134166717529,-8.622332572937012,-7.596282958984375,0.335017591714859,내추럴,캐주얼,페미니
여성가디건\여성가디건_images_20240904_105542\104.jpg,-7.163958549499512,-7.16544771194458,3.2063419818878174,-5.142359733581543,-3.021308422088623,-1.7920737266540527,-9.566044807434082,-8.835405349731445,-5.207032203674316,-0.6700652837753296,내추럴,캐주얼,페미니
여성가디건\여성가디건_images_20240904_105542\105.jpg,-6.516683578491211,-4.89437198638916,-1.522874116897583,-5.685748100280762,-4.199075698852539,-1.5306806564331055,-6.624818801879883,-9.007793426513672,-5.157126426696777,4.061986923217773,내추럴,페미니,캐주얼
여성가디건\여성가디건_images_20240904_105542\106.jpg,-4.187180995941162,-6.6478729248046875,-2.038022994995117,-5.566304683685303,-2.96030855178833,1.830343246459961,-7.360051155090332,-5.442418098449707,-6.261025428771973,2.73606014251709,페미니,내추럴,캐주얼
여성가디건\여성가디건_images_20240904_105542\107.jpg,-6.522010803222656,-6.340249061584473,-4.616391181945801,-6.846896171569824,-1.9515042304992676,-0.8449907302856445,-4.596432685852051,-6.8495893478393555,-4.452239036560059,-1.0151009559631348,컨템포러리,캐주얼,내추럴
여성가디건\여성가디건_images_20240904_105542\108.jpg,-2.755105972290039,-8.09604263305664,-1.653298258781433,-5.291807174682617,2.297724962234497,-0.6101158857345581,-8.607397079467773,-12.900308609008789,-3.723379373550415,2.327685832977295,내추럴,컨템포러리,캐주얼
여성가디건\여성가디건_images_20240904_105542\109.jpg,-1.9610016345977783,-1.942975401878357,-2.7050464153289795,-2.6058082580566406,-2.5627408027648926,0.9964908361434937,-3.2142343521118164,-6.077762603759766,-5.391118049621582,-0.7003551125526428,매니시,캐주얼,내추럴
여성가디건\여성가디건_images_20240904_105542\11.jpg,-0.2197812795639038,-5.68693733215332,-3.0586109161376953,-9.053886413574219,-0.980073094367981,-10.645672798156738,-7.21621036529541,-5.907429218292236,-4.86024284362793,4.022761344909668,컨템포러리,클래식,캐주얼
여성가디건\여성가디건_images_20240904_105542\110.jpg,-5.130599021911621,-2.58785343170166,-3.238295793533325,-4.024815559387207,-9.112468719482422,-7.845988750457764,-5.684910774230957,-5.9843034744262695,1.043089509010315,5.348720550537109,매니시,서브컬처,캐주얼
여성가디건\여성가디건_images_20240904_105542\111.jpg,-7.671275615692139,-2.960724353790283,-6.3312883377075195,-8.29836654663086,-6.396726608276367,-2.1473610401153564,-2.8202643394470215,-5.133246421813965,-5.570793151855469,6.6563615798950195,젠더리스,내추럴,캐주얼
여성가디건\여성가디건_images_20240904_105542\112.jpg,-1.2156920433044434,-4.809492111206055,-0.7165521383285522,-5.084491729736328,0.8181842565536499,-0.2070401906967163,-4.705182075500488,-5.713825225830078,-6.134514331817627,-3.22452974319458,페미니,내추럴,컨템포러리
여성가디건\여성가디건_images_20240904_105542\113.jpg,-2.843812942504883,-4.055355548858643,-1.3933451175689697,-7.019448280334473,-1.602779746055603,-5.4134135246276855,-5.837144374847412,-5.651457786560059,-3.8417975902557373,3.4544708728790283,컨템포러리,페미니,캐주얼
여성가디건\여성가디건_images_20240904_105542\114.jpg,-6.625316619873047,-6.888092994689941,-3.0022811889648438,-0.4724648594856262,-1.0771048069000244,0.2363826036453247,-6.7919206619262695,-6.366531848907471,-4.977346420288086,-1.0407702922821045,캐주얼,에스닉,내추럴
여성가디건\여성가디건_images_20240904_105542\115.jpg,-2.3428807258605957,-6.454753875732422,-1.0060268640518188,-5.895946502685547,-0.9950847029685974,-0.34404492378234863,-6.760927200317383,-7.043814659118652,-5.509679794311523,-0.05192148685455322,컨템포러리,내추럴,캐주얼
여성가디건\여성가디건_images_20240904_105542\116.jpg,-45.26158142089844,-35.297813415527344,-29.984615325927734,-16.180049896240234,-3.9987528324127197,-7.625387191772461,-23.656566619873047,-80.201904296875,-15.031434059143066,20.381542205810547,내추럴,컨템포러리,캐주얼
여성가디건\여성가디건_images_20240904_105542\117.jpg,-5.929337978363037,-8.145585060119629,-2.059980630874634,-5.1815385818481445,-2.225525379180908,2.322559118270874,-5.777188301086426,-4.627461910247803,-4.603771209716797,-0.05438804626464844,페미니,캐주얼,내추럴
여성가디건\여성가디건_images_20240904_105542\118.jpg,0.31203484535217285,-5.750679969787598,-0.7543121576309204,-5.260490417480469,0.6578876376152039,-5.515340805053711,-5.142243385314941,-9.1350679397583,-6.104557037353516,-6.2322998046875,페미니,클래식,컨템포러리
여성가디건\여성가디건_images_20240904_105542\119.jpg,-4.948482990264893,-6.588768005371094,-1.6673228740692139,-6.710370063781738,0.3682938516139984,1.2896645069122314,-6.616896152496338,-6.858575820922852,-7.504533290863037,1.0485420227050781,컨템포러리,캐주얼,내추럴
여성가디건\여성가디건_images_20240904_105542\12.jpg,-2.3980016708374023,-3.2720375061035156,-1.651878833770752,-5.165390491485596,-1.3841004371643066,-2.649202346801758,-4.931547164916992,-7.221996307373047,-6.66793966293335,1.7256932258605957,페미니,컨템포러리,캐주얼
여성가디건\여성가디건_images_20240904_105542\120.jpg,-0.4018098711967468,-4.580301761627197,0.854439377784729,-5.016408443450928,1.6908544301986694,-3.592158794403076,-5.859814643859863,-8.053877830505371,-6.903627872467041,-4.762429714202881,클래식,페미니,컨템포러리
여성가디건\여성가디건_images_20240904_105542\121.jpg,-10.15089225769043,-16.518779754638672,-7.717968940734863,-10.583131790161133,-0.42619264125823975,-5.154139518737793,-10.224512100219727,-20.852733612060547,-4.526504993438721,9.313304901123047,서브컬처,컨템포러리,캐주얼
여성가디건\여성가디건_images_20240904_105542\122.jpg,-1.6699919700622559,-1.3018933534622192,-3.312880039215088,-7.308165550231934,1.1696059703826904,-9.101692199707031,-2.024317502975464,-7.64674711227417,-3.6370110511779785,1.0409462451934814,매니시,캐주얼,컨템포러리
여성가디건\여성가디건_images_20240904_105542\123.jpg,-12.180614471435547,-7.168295860290527,-7.123147010803223,-7.897863388061523,-14.62861442565918,-5.735486030578613,-8.718679428100586,-15.494915008544922,-6.412923812866211,9.380000114440918,서브컬처,내추럴,캐주얼
여성가디건\여성가디건_images_20240904_105542\124.jpg,-4.491207599639893,-0.917177677154541,-5.9748992919921875,-7.944648742675781,-0.06451858580112457,-5.9933648109436035,-2.9283993244171143,-5.133041858673096,-3.2751998901367188,5.550472259521484,매니시,컨템포러리,캐주얼
여성가디건\여성가디건_images_20240904_105542\125.jpg,-10.84720230102539,-8.323474884033203,-8.545170783996582,-13.615829467773438,-6.263888359069824,-9.68261432647705,-7.447445869445801,3.4046154022216797,-8.769116401672363,6.167645454406738,컨템포러리,스포티,캐주얼
여성가디건\여성가디건_images_20240904_105542\126.jpg,-7.357229709625244,-3.685256004333496,-0.9744216203689575,-6.997126579284668,-4.772495269775391,-3.759033441543579,-6.136447906494141,-4.488467216491699,-3.4876999855041504,3.610168218612671,서브컬처,페미니,캐주얼
여성가디건\여성가디건_images_20240904_105542\127.jpg,-1.1614229679107666,-4.696741104125977,-0.17729473114013672,-3.383101224899292,-0.09150373935699463,-3.95064115524292,-5.949030876159668,-7.771356582641602,-4.074357986450195,-0.28386104106903076,캐주얼,페미니,컨템포러리
여성가디건\여성가디건_images_20240904_105542\128.jpg,-2.394428253173828,-0.9546365141868591,-5.045921325683594,-6.365017890930176,-1.0598169565200806,-6.949907302856445,-1.5028316974639893,-4.631667137145996,-3.671250104904175,3.8537700176239014,컨템포러리,매니시,캐주얼
여성가디건\여성가디건_images_20240904_105542\129.jpg,-1.8594080209732056,-4.986886501312256,0.5250994563102722,-3.700512647628784,1.9176641702651978,-4.653156280517578,-6.099878311157227,-7.2071380615234375,-5.375908851623535,-3.56624698638916,클래식,페미니,컨템포러리
여성가디건\여성가디건_images_20240904_105542\13.jpg,0.9103484153747559,-4.9222259521484375,-2.353426456451416,-6.162644386291504,0.3777554929256439,-4.71535587310791,-10.020750045776367,-8.858097076416016,1.1923036575317383,-5.331744194030762,컨템포러리,클래식,서브컬처
여성가디건\여성가디건_images_20240904_105542\130.jpg,-2.9661030769348145,-7.074551105499268,0.7841341495513916,-5.354488849639893,-1.1974213123321533,-1.2559406757354736,-6.0989508628845215,-6.069690704345703,-8.62751293182373,-0.8209556937217712,컨템포러리,캐주얼,페미니
여성가디건\여성가디건_images_20240904_105542\131.jpg,-34.41450500488281,-26.746414184570312,-30.345291137695312,-13.793268203735352,-3.2342119216918945,-11.204452514648438,-12.324071884155273,-61.4752082824707,-13.662859916687012,15.128683090209961,내추럴,컨템포러리,캐주얼
여성가디건\여성가디건_images_20240904_105542\132.jpg,-0.5422407388687134,-7.121522903442383,-1.01960289478302,-6.481154918670654,-0.000647425651550293,-5.668734073638916,-7.96539831161499,-15.407536506652832,-3.1114630699157715,2.0812697410583496,클래식,컨템포러리,캐주얼
여성가디건\여성가디건_images_20240904_105542\133.jpg,-1.1732484102249146,-4.994340896606445,-4.342458724975586,-6.309348106384277,-4.27219820022583,-5.48980188369751,-4.590175628662109,-8.400786399841309,-2.64884614944458,6.37935733795166,서브컬처,클래식,캐주얼
여성가디건\여성가디건_images_20240904_105542\134.jpg,-8.616649627685547,-4.834041595458984,-2.9785218238830566,-3.5098788738250732,6.065385341644287,-5.594472408294678,-6.125419616699219,-9.870390892028809,-6.646003723144531,-5.263095378875732,에스닉,페미니,컨템포러리
여성가디건\여성가디건_images_20240904_105542\135.jpg,-14.024812698364258,-18.53137969970703,-13.425188064575195,-13.135025978088379,0.3749328851699829,-8.583714485168457,-10.793294906616211,-29.52932357788086,-5.829162120819092,14.313467025756836,서브컬처,컨템포러리,캐주얼
여성가디건\여성가디건_images_20240904_105542\136.jpg,-10.12346076965332,-12.823923110961914,-5.155379295349121,-8.614627838134766,-4.234244346618652,-0.3798408508300781,-9.799413681030273,-18.204875946044922,-5.65349006652832,7.026762962341309,컨템포러리,내추럴,캐주얼
여성가디건\여성가디건_images_20240904_105542\137.jpg,-2.2389028072357178,-3.6648707389831543,-0.025222957134246826,-7.91173791885376,-2.1630492210388184,-3.9056482315063477,-7.132015228271484,-5.515713691711426,-5.161660194396973,1.0232949256896973,컨템포러리,페미니,캐주얼
여성가디건\여성가디건_images_20240904_105542\138.jpg,-3.2030506134033203,-5.444674015045166,2.735792398452759,-5.662663459777832,-1.4173760414123535,-4.05144739151001,-6.905328750610352,-3.9540767669677734,-4.5343523025512695,0.7689236402511597,컨템포러리,캐주얼,페미니
여성가디건\여성가디건_images_20240904_105542\139.jpg,-1.7496864795684814,-5.1329240798950195,-1.6328667402267456,-4.463518142700195,-2.3602497577667236,-6.118156433105469,-4.965693473815918,-6.790573596954346,-7.523920059204102,-1.2294323444366455,클래식,페미니,캐주얼
여성가디건\여성가디건_images_20240904_105542\14.jpg,-3.505463123321533,-4.698956489562988,-0.7396326661109924,-3.979085922241211,-2.117077112197876,-1.2587716579437256,-4.534290313720703,-6.475068092346191,-5.604743957519531,-0.2794877290725708,내추럴,페미니,캐주얼
여성가디건\여성가디건_images_20240904_105542\140.jpg,-9.644681930541992,-5.18989372253418,-5.122035026550293,-2.207211494445801,-6.345154285430908,7.522785186767578,-6.342638969421387,-9.750381469726562,-7.959550857543945,-0.7769625186920166,에스닉,캐주얼,내추럴
여성가디건\여성가디건_images_20240904_105542\141.jpg,-8.008988380432129,-7.501264572143555,-3.1233930587768555,-2.880650043487549,-6.6804962158203125,-0.9367114305496216,-7.983739376068115,-8.527730941772461,-7.871197700500488,1.4945379495620728,에스닉,내추럴,캐주얼
여성가디건\여성가디건_images_20240904_105542\142.jpg,-4.157243251800537,-5.2193193435668945,1.6844648122787476,-5.579384803771973,-2.805269479751587,0.06819573044776917,-8.692694664001465,-4.651290416717529,-4.886806488037109,-1.8176743984222412,캐주얼,내추럴,페미니
여성가디건\여성가디건_images_20240904_105542\143.jpg,-1.4964666366577148,-3.5525949001312256,-2.7537412643432617,-5.102282524108887,0.8125900030136108,-5.818759441375732,-2.338048219680786,-5.658296585083008,-6.212209701538086,0.8514826893806458,클래식,컨템포러리,캐주얼
여성가디건\여성가디건_images_20240904_105542\144.jpg,-4.457193374633789,-4.046855449676514,-0.6490638852119446,-7.122546195983887,2.567368984222412,-1.0622864961624146,-5.453098773956299,-7.074663162231445,-7.459494113922119,-1.3027641773223877,내추럴,페미니,컨템포러리
여성가디건\여성가디건_images_20240904_105542\145.jpg,-5.613312721252441,-4.727065563201904,-1.3190944194793701,-5.092258453369141,-4.566523551940918,-2.600558280944824,-5.12401819229126,-4.903389930725098,-2.4681854248046875,2.989840030670166,서브컬처,페미니,캐주얼
여성가디건\여성가디건_images_20240904_105542\146.jpg,-4.265437126159668,-5.850431442260742,0.3421005606651306,-2.4085586071014404,-3.754138946533203,-2.7967705726623535,-5.571216583251953,-6.596575736999512,-5.339127063751221,-1.8384058475494385,에스닉,캐주얼,페미니
여성가디건\여성가디건_images_20240904_105542\147.jpg,-1.9605413675308228,-3.611203670501709,-0.36109620332717896,-5.3869218826293945,-0.5781152248382568,-3.385749340057373,-5.8274383544921875,-5.771613121032715,-4.992706298828125,1.2411839962005615,컨템포러리,페미니,캐주얼
여성가디건\여성가디건_images_20240904_105542\148.jpg,-5.494813442230225,-5.816807746887207,-3.2394509315490723,-5.507909774780273,-3.3444015979766846,-7.655111789703369,-7.014096260070801,-9.44929313659668,-2.8167314529418945,4.3430280685424805,페미니,서브컬처,캐주얼
여성가디건\여성가디건_images_20240904_105542\149.jpg,-3.0775814056396484,-6.26777458190918,-7.5676493644714355,-12.046685218811035,-6.408807754516602,-12.152755737304688,-7.157352924346924,-1.6997524499893188,-6.609760761260986,8.56387710571289,클래식,스포티,캐주얼
여성가디건\여성가디건_images_20240904_105542\15.jpg,-4.964031219482422,-6.87758731842041,0.5693131685256958,-4.119138717651367,-5.143774509429932,-4.980783462524414,-7.379826545715332,-7.112727165222168,-4.061458110809326,2.6956229209899902,서브컬처,페미니,캐주얼
여성가디건\여성가디건_images_20240904_105542\150.jpg,-6.545655250549316,-5.954193115234375,-7.250424385070801,-4.0765581130981445,-0.07667987048625946,-7.312253475189209,-2.7600936889648438,-6.2295050621032715,-1.5951642990112305,2.4347448348999023,서브컬처,컨템포러리,캐주얼
여성가디건\여성가디건_images_20240904_105542\151.jpg,-2.9890244007110596,-3.906911849975586,-1.1513768434524536,-3.521909713745117,-2.2549800872802734,-1.335763931274414,-2.669874668121338,-3.1185872554779053,-3.4702494144439697,1.4759604930877686,내추럴,페미니,캐주얼
여성가디건\여성가디건_images_20240904_105542\152.jpg,-3.490636110305786,-5.933467864990234,0.68572998046875,-2.7135977745056152,-6.377202033996582,0.06972074508666992,-8.217100143432617,-5.5850019454956055,-5.775761604309082,0.9550055265426636,내추럴,페미니,캐주얼
여성가디건\여성가디건_images_20240904_105542\153.jpg,-4.357546806335449,-5.581164360046387,1.6112885475158691,-5.025931358337402,-3.6154627799987793,-0.6610802412033081,-5.996828079223633,-4.6803879737854,-3.8191299438476562,0.09031140804290771,내추럴,캐주얼,페미니
여성가디건\여성가디건_images_20240904_105542\154.jpg,-3.3565001487731934,-5.393677711486816,-2.4707484245300293,-5.496659278869629,-3.1704704761505127,-2.0486693382263184,-6.730742454528809,-3.9575185775756836,-2.91290020942688,4.407910346984863,페미니,내추럴,캐주얼
여성가디건\여성가디건_images_20240904_105542\155.jpg,-4.373599529266357,-2.0285801887512207,-6.380430221557617,-4.663606643676758,0.013760536909103394,-1.074702262878418,0.567425012588501,-4.2079877853393555,-2.9610233306884766,-1.1888431310653687,내추럴,컨템포러리,젠더리스
