removed_image_path,original_image_path
1501,1232
1604,1597
1738,1664
1747,1744
1790,1787
1873,1872
1919,1916
1920,1915
1921,1917
1959,1651
1961,1652
1963,1653
1964,1654
1965,1657
1968,1658
1969,1659
1971,1655
1972,1656
1973,1661
1977,1660
1978,1663
1980,1671
1981,1667
1983,1668
1984,1673
1985,1664
1986,1674
1987,1665
1988,1669
1989,1666
1990,1675
1991,1670
1993,1677
1995,1680
1998,1672
2000,1681
2001,1682
2003,1683
2004,1676
2005,1678
2007,1679
2008,1689
2011,1690
2012,1693
2013,1694
2014,1697
2015,1684
2016,1691
2017,1704
2018,1701
2019,1685
2022,1713
2023,1686
2025,1706
2026,1687
2027,1702
2028,1688
203,202
2030,1707
2032,1712
2034,1692
2035,1714
2037,1709
2039,1716
2040,1696
2041,1695
2043,1698
2045,1719
2046,1703
2047,1699
2049,1700
2051,1725
2052,1728
2053,1718
2054,1727
2055,1705
2058,1708
2059,1710
2060,1729
2061,1711
2062,1724
2064,1715
2069,1740
2070,1734
2071,1737
2073,1721
2074,1717
2075,1746
2076,1720
2077,1744
2078,1723
2080,1722
2082,1754
2084,1750
2085,1726
2086,1751
2087,1736
2088,1756
2089,1757
2093,1762
2094,1767
2096,1730
2097,1771
2098,1731
2099,1769
2100,1732
2101,1769
2102,1771
2103,1733
2104,1735
2105,1760
2106,1755
2107,1773
2108,1770
2109,1664
2111,1739
2112,1774
2113,1743
2114,1742
2115,1748
2116,1776
2117,1741
2119,1777
2120,1745
2121,1749
2122,1779
2123,1752
2124,1753
2125,1772
2126,1782
2127,1785
2128,1786
2130,1784
2131,1789
2133,1759
2135,1761
2137,1758
2138,1791
2139,1763
2140,1793
2141,1764
2142,1792
2143,1788
2144,1765
2146,1765
2147,1821
2148,1768
2149,2145
2150,1798
2152,1803
2153,1808
2154,1815
2155,1814
2156,1775
2160,1778
2161,1839
2162,1799
2163,1780
2164,1824
2165,1783
2168,1781
2171,1823
2175,1828
2177,1836
2179,1853
2180,1805
2182,1787
2184,1787
2185,2181
2186,1845
2187,1843
2188,1795
2189,1794
2190,1847
2191,1849
2192,1819
2193,1797
2194,1796
2196,1801
2197,1800
2198,1809
2200,1802
2202,1858
2203,1855
2204,1887
2205,1861
2206,1804
2207,1807
2208,1822
2209,1862
2210,1813
2211,1806
2212,1860
2213,1810
2214,1865
2215,1811
2217,1812
2220,1869
2222,1897
2223,1816
2224,1872
2225,1820
2226,1817
2227,1903
2228,1897
2230,1876
2233,1875
2235,1883
2236,1826
2237,1825
2238,1878
2239,1885
2240,1879
2241,1880
2242,1886
2244,1831
2245,1827
2246,1882
