의류 ID,속성 유형,속성 값
1,스타일,페미니
1,category,재킷
1,texture,저지
1,print,무지
10,스타일,컨템포러리
10,category,니트웨어
10,detail,포켓
10,texture,울/캐시미어
10,print,무지
100,스타일,캐주얼
100,category,티셔츠
100,texture,저지
100,print,레터링
101,스타일,캐주얼
101,category,재킷
101,texture,저지
101,print,스트라이프
102,스타일,페미니
102,category,드레스
102,detail,플리츠
102,texture,니트
102,print,무지
103,스타일,페미니
103,category,팬츠
103,texture,울/캐시미어
103,print,무지
104,스타일,페미니
104,category,재킷
104,texture,니트
104,print,무지
105,스타일,페미니
105,category,청바지
105,texture,우븐
105,print,무지
106,스타일,캐주얼
106,category,스커트
106,texture,니트
106,print,그래픽
107,스타일,캐주얼
107,category,티셔츠
107,detail,단추
107,texture,니트
107,print,무지
108,스타일,컨템포러리
108,category,재킷
108,detail,단추
108,texture,울/캐시미어
109,스타일,내추럴
109,category,코트
109,texture,니트
109,print,그래픽
11,스타일,캐주얼
11,category,점퍼
11,detail,포켓
11,texture,우븐
110,스타일,캐주얼
110,category,스커트
110,texture,우븐
110,print,그래픽
111,스타일,캐주얼
111,category,청바지
111,detail,포켓
111,texture,우븐
111,print,무지
112,스타일,클래식
112,category,드레스
112,detail,단추
112,texture,니트
113,스타일,캐주얼
113,category,스커트
113,detail,단추
113,texture,우븐
113,print,무지
114,스타일,페미니
114,category,드레스
114,texture,우븐
114,print,무지
115,스타일,컨템포러리
115,category,코트
115,detail,단추
115,texture,울/캐시미어
116,스타일,페미니
116,category,티셔츠
116,texture,우븐
117,스타일,캐주얼
117,category,드레스
117,detail,단추
117,texture,우븐
118,스타일,컨템포러리
118,category,스커트
118,detail,플리츠
118,texture,우븐
118,print,무지
119,스타일,캐주얼
119,category,드레스
119,texture,저지
119,print,스트라이프
12,스타일,컨템포러리
12,category,재킷
12,detail,슬릿
12,texture,우븐
12,print,무지
120,스타일,컨템포러리
120,category,티셔츠
120,detail,포켓
120,texture,니트
120,print,무지
121,스타일,캐주얼
121,category,티셔츠
121,detail,단추
121,texture,니트
121,print,무지
122,스타일,캐주얼
122,category,티셔츠
122,texture,우븐
123,스타일,캐주얼
123,category,드레스
123,texture,우븐
124,스타일,캐주얼
124,category,재킷
124,texture,우븐
124,print,무지
125,스타일,캐주얼
125,category,드레스
125,detail,단추
125,texture,우븐
125,print,스트라이프
126,스타일,캐주얼
126,category,드레스
126,texture,저지
126,print,무지
127,스타일,컨템포러리
127,category,티셔츠
127,texture,우븐
127,print,그래픽
128,스타일,캐주얼
128,category,코트
128,detail,단추
128,texture,우븐
128,print,무지
129,스타일,페미니
129,category,드레스
129,detail,단추
129,texture,우븐
129,print,무지
13,스타일,서브컬처
13,category,재킷
13,detail,플리츠
13,texture,니트
13,print,무지
130,스타일,컨템포러리
130,category,니트웨어
130,detail,단추
130,texture,울/캐시미어
130,print,무지
131,스타일,컨템포러리
131,category,니트웨어
131,texture,우븐
131,print,무지
132,스타일,캐주얼
132,category,드레스
132,detail,포켓
132,texture,니트
132,print,무지
133,스타일,캐주얼
133,category,니트웨어
133,detail,단추
133,texture,니트
134,스타일,컨템포러리
134,category,코트
134,detail,단추
134,texture,울/캐시미어
134,print,무지
135,스타일,캐주얼
135,category,티셔츠
135,texture,우븐
135,print,레터링
136,스타일,페미니
136,category,티셔츠
136,texture,우븐
136,print,그래픽
137,스타일,캐주얼
137,category,티셔츠
137,detail,포켓
137,texture,저지
137,print,스트라이프
138,스타일,페미니
138,category,티셔츠
138,texture,니트
138,print,그래픽
139,스타일,캐주얼
139,category,코트
139,texture,우븐
14,스타일,캐주얼
14,category,팬츠
14,detail,단추
14,texture,니트
14,print,무지
140,스타일,캐주얼
140,category,니트웨어
140,detail,단추
140,texture,니트
140,print,무지
141,스타일,캐주얼
141,category,티셔츠
141,detail,포켓
141,texture,우븐
141,print,무지
142,스타일,페미니
142,category,코트
142,detail,포켓
142,texture,우븐
142,print,무지
143,스타일,컨템포러리
143,category,코트
143,texture,울/캐시미어
143,print,무지
144,스타일,컨템포러리
144,category,드레스
144,texture,저지
144,print,스트라이프
145,스타일,페미니
145,category,니트웨어
145,detail,포켓
145,texture,니트
145,print,무지
146,스타일,페미니
146,category,스커트
146,detail,단추
146,texture,우븐
146,print,무지
147,스타일,캐주얼
147,category,재킷
147,detail,단추
147,texture,우븐
147,print,무지
148,스타일,캐주얼
148,category,니트웨어
148,texture,니트
148,print,무지
149,스타일,캐주얼
149,category,재킷
149,detail,디스트로이드
149,texture,데님
149,print,레터링
15,스타일,컨템포러리
15,category,티셔츠
15,texture,니트
150,스타일,캐주얼
150,category,코트
150,detail,단추
150,texture,우븐
150,print,무지
151,스타일,캐주얼
151,category,청바지
151,detail,단추
151,texture,니트
151,print,무지
152,스타일,페미니
152,category,티셔츠
152,texture,니트
152,print,그래픽
153,스타일,페미니
153,category,점퍼
153,texture,우븐
153,print,그래픽
154,스타일,캐주얼
154,category,티셔츠
154,texture,저지
154,print,그래픽
155,스타일,캐주얼
155,category,재킷
155,texture,울/캐시미어
155,print,무지
156,스타일,컨템포러리
156,category,니트웨어
156,detail,단추
156,texture,저지
156,print,무지
157,스타일,캐주얼
157,category,재킷
157,detail,포켓
157,texture,니트
158,스타일,캐주얼
158,category,니트웨어
158,detail,단추
158,texture,니트
158,print,무지
159,스타일,캐주얼
159,category,코트
159,texture,울/캐시미어
159,print,무지
16,스타일,컨템포러리
16,category,재킷
16,detail,포켓
16,texture,우븐
16,print,무지
160,스타일,컨템포러리
160,category,니트웨어
160,detail,단추
160,texture,울/캐시미어
160,print,무지
161,스타일,캐주얼
161,category,청바지
161,detail,디스트로이드
161,texture,니트
161,print,무지
162,스타일,캐주얼
162,category,재킷
162,detail,단추
162,texture,우븐
162,print,무지
163,스타일,캐주얼
163,category,재킷
163,detail,단추
163,texture,니트
164,스타일,페미니
164,category,팬츠
164,texture,패딩
164,print,무지
165,스타일,컨템포러리
165,category,스커트
165,detail,단추
165,texture,니트
165,print,무지
166,스타일,페미니
166,category,니트웨어
166,texture,우븐
167,스타일,페미니
167,category,니트웨어
167,texture,니트
167,print,무지
168,스타일,캐주얼
168,category,티셔츠
168,texture,저지
168,print,무지
169,스타일,컨템포러리
169,category,코트
169,texture,우븐
17,스타일,캐주얼
17,category,재킷
17,detail,포켓
17,texture,울/캐시미어
170,스타일,캐주얼
170,category,드레스
170,detail,포켓
170,texture,니트
170,print,무지
171,스타일,캐주얼
171,category,점퍼
171,texture,울/캐시미어
171,print,무지
172,스타일,페미니
172,category,티셔츠
172,detail,포켓
172,texture,우븐
173,스타일,캐주얼
173,category,스커트
173,texture,우븐
173,print,호피
174,스타일,캐주얼
174,category,드레스
174,texture,우븐
175,스타일,컨템포러리
175,category,청바지
175,texture,울/캐시미어
175,print,무지
176,스타일,페미니
176,category,가디건
176,texture,우븐
176,print,그래픽
177,스타일,캐주얼
177,category,재킷
177,detail,포켓
177,texture,우븐
177,print,무지
178,스타일,캐주얼
178,category,스커트
178,detail,포켓
178,texture,니트
178,print,무지
179,스타일,캐주얼
179,category,티셔츠
179,texture,니트
179,print,무지
18,스타일,캐주얼
18,category,스커트
18,texture,니트
180,스타일,캐주얼
180,category,니트웨어
180,detail,포켓
180,texture,니트
180,print,그래픽
181,스타일,컨템포러리
181,category,니트웨어
181,texture,니트
181,print,무지
182,스타일,페미니
182,category,니트웨어
182,detail,단추
182,texture,니트
183,스타일,캐주얼
183,category,드레스
183,detail,포켓
183,texture,니트
183,print,스트라이프
184,스타일,캐주얼
184,category,스커트
184,detail,단추
184,texture,니트
184,print,무지
185,스타일,캐주얼
185,category,티셔츠
185,detail,단추
185,texture,시폰
185,print,무지
186,스타일,컨템포러리
186,category,드레스
186,detail,띠
186,texture,우븐
186,print,무지
187,스타일,페미니
187,category,점퍼
187,detail,포켓
187,texture,우븐
187,print,무지
188,스타일,캐주얼
188,category,티셔츠
188,texture,니트
188,print,무지
189,스타일,캐주얼
189,category,패딩
189,texture,우븐
189,print,무지
19,스타일,캐주얼
19,category,블라우스
19,detail,포켓
19,texture,우븐
19,print,무지
190,스타일,캐주얼
190,category,청바지
190,texture,니트
191,스타일,페미니
191,category,베스트
191,texture,우븐
192,스타일,캐주얼
192,category,코트
192,detail,포켓
192,texture,니트
192,print,무지
193,스타일,페미니
193,category,드레스
193,texture,우븐
194,스타일,컨템포러리
194,category,드레스
194,detail,단추
194,print,무지
195,스타일,컨템포러리
195,category,티셔츠
195,detail,포켓
195,texture,니트
195,print,무지
196,스타일,캐주얼
196,category,재킷
196,detail,포켓
196,texture,울/캐시미어
196,print,무지
197,스타일,캐주얼
197,category,블라우스
197,texture,니트
197,print,그래픽
198,스타일,컨템포러리
198,category,코트
198,detail,포켓
198,texture,울/캐시미어
198,print,무지
199,스타일,컨템포러리
199,category,재킷
199,texture,니트
199,print,무지
2,스타일,캐주얼
2,category,재킷
2,texture,울/캐시미어
2,print,무지
20,스타일,페미니
20,category,가디건
20,detail,포켓
20,texture,패딩
20,print,무지
200,스타일,페미니
200,category,드레스
200,detail,단추
200,texture,우븐
201,스타일,캐주얼
201,category,팬츠
201,texture,니트
202,스타일,클래식
202,category,팬츠
202,detail,단추
202,texture,울/캐시미어
202,print,무지
203,스타일,컨템포러리
203,category,니트웨어
203,detail,단추
203,texture,울/캐시미어
203,print,무지
204,스타일,페미니
204,category,재킷
204,texture,니트
204,print,무지
205,스타일,캐주얼
205,category,코트
205,texture,우븐
205,print,무지
206,스타일,컨템포러리
206,category,블라우스
206,detail,단추
206,texture,우븐
206,print,무지
207,스타일,캐주얼
207,category,드레스
207,detail,단추
207,texture,우븐
208,스타일,캐주얼
208,category,재킷
208,texture,우븐
208,print,스트라이프
209,스타일,컨템포러리
209,category,드레스
209,texture,우븐
21,스타일,컨템포러리
21,category,니트웨어
21,detail,단추
21,texture,우븐
210,스타일,캐주얼
210,category,스커트
210,detail,디스트로이드
210,texture,니트
210,print,무지
211,스타일,캐주얼
211,category,드레스
211,texture,니트
211,print,스트라이프
212,스타일,컨템포러리
212,category,니트웨어
212,detail,플리츠
212,texture,우븐
212,print,무지
213,스타일,캐주얼
213,category,코트
213,texture,니트
214,스타일,캐주얼
214,category,팬츠
214,detail,단추
214,texture,우븐
214,print,무지
215,스타일,캐주얼
215,category,니트웨어
215,texture,우븐
215,print,무지
216,스타일,캐주얼
216,category,스커트
216,detail,단추
216,texture,울/캐시미어
216,print,무지
217,스타일,캐주얼
217,category,블라우스
217,texture,우븐
218,스타일,캐주얼
218,category,블라우스
218,detail,단추
218,texture,우븐
219,스타일,캐주얼
219,category,니트웨어
219,texture,저지
219,print,무지
22,스타일,캐주얼
22,category,청바지
22,detail,단추
22,texture,데님
22,print,무지
220,스타일,내추럴
220,category,재킷
220,detail,띠
220,texture,니트
220,print,무지
221,스타일,페미니
221,category,베스트
221,detail,단추
221,texture,우븐
222,스타일,컨템포러리
222,category,드레스
222,texture,저지
222,print,그래픽
223,스타일,컨템포러리
223,category,재킷
223,detail,포켓
223,texture,니트
223,print,무지
224,스타일,컨템포러리
224,category,블라우스
224,detail,단추
224,texture,니트
224,print,무지
225,스타일,캐주얼
225,category,드레스
225,texture,니트
225,print,그래픽
226,스타일,컨템포러리
226,category,셔츠
226,detail,포켓
226,texture,우븐
226,print,무지
227,스타일,컨템포러리
227,category,드레스
227,detail,단추
227,texture,우븐
227,print,무지
228,스타일,캐주얼
228,category,청바지
228,detail,포켓
228,texture,니트
228,print,무지
229,스타일,캐주얼
229,category,드레스
229,detail,띠
229,texture,우븐
229,print,무지
23,스타일,캐주얼
23,category,스커트
23,detail,단추
23,texture,니트
23,print,무지
230,스타일,캐주얼
230,category,드레스
230,texture,니트
231,스타일,페미니
231,category,드레스
231,texture,우븐
231,print,무지
232,스타일,클래식
232,category,드레스
232,detail,단추
232,texture,니트
232,print,무지
233,스타일,캐주얼
233,category,청바지
233,detail,포켓
233,texture,데님
233,print,무지
234,스타일,컨템포러리
234,category,재킷
234,texture,저지
234,print,그래픽
235,스타일,컨템포러리
235,category,스커트
235,detail,단추
