Endpoint,Method,Request Body,Response,Description
/api/auth/signup,POST,MemberSignupRequestDTO,성공 메시지,회원가입
/api/auth/login,POST,LoginRequestDTO,LoginResponseDTO (액세스 토큰 리프레시 토큰),로그인
/api/auth/verify,GET,Query Parameter: token,인증 성공/실패 메시지,이메일 인증
/api/auth/find-username,POST,FindUsernameRequestDTO,찾은 아이디,아이디 찾기
/api/auth/reset-password,POST,ResetPasswordRequestDTO,이메일 발송 성공 메시지,비밀번호 재설정 이메일 발송
/api/auth/reset-password-confirm,POST,PasswordResetDTO,비밀번호 재설정 성공 메시지,비밀번호 재설정
/api/qboard,POST,Qboard (MultipartFile),생성된 Qboard 객체,Q&A 게시글 작성
/api/qboard/{id},GET,Path Variable: id,Qboard 객체,Q&A 게시글 조회
/api/qboard,GET,-,Qboard 객체 리스트,모든 Q&A 게시글 조회
/api/qboard/{id},PUT,Qboard 새 이미지(MultipartFile) 삭제할 이미지 ID 리스트,수정된 Qboard 객체,Q&A 게시글 수정
/api/qboard/{id},DELETE,Path Variable: id,성공 메시지,Q&A 게시글 삭제
/api/qboard/{qboardId}/images,GET,Path Variable: qboardId,QboardImg 객체 리스트,Q&A 게시글 이미지 조회
