color_id,color_code,color_name
1,BE,베이지
2,GR,회색
3,BK,블랙
4,DL,진청
5,OT,오트밀
6,PK,핑크
7,IV,아이보리
8,BR,브라운
9,GE,그린
10,BG,청록색
11,MO,모카
12,CH,챠콜
13,ML,중청
14,DB,다크베이지
15,RE,레드
16,CG,차콜그레이
17,,네이비
18,KH,카키
19,LB,연한베이지
20,WN,와인
21,OL,올리브
22,PP,퍼플
23,CR,크림
24,XX,XX
25,SO,소라
26,MT,민트
27,YG,연두색
28,WH,화이트
29,OR,오렌지
30,YE,옐로우
31,DD,다크데님
32,LL,연청
33,ST,스트라이프
34,DP,진핑크
35,BL,블루
36,VG,버건디
37,DE,딥그린
38,IP,인디핑크
39,CM,카멜
40,MU,머스타드
41,LP,라이트핑크
42,LV,연보라
43,MG,멜란그레이
44,CC,코코아
45,SI,실버
46,CK,체크
47,CO,코랄
48,DK,진카키
49,DN,다크네이비
50,AT,앤틱
51,RB,적갈색/벽돌
52,LA,라임
53,SP,스킨핑크
54,29,29
55,VI,바이올렛
56,SG,스카이그레이
57,LI,라임
58,DG,다크그레이
59,12,12
60,LG,연한그레이
61,LK,연카키
62,LY,연한노랑
63,SB,연한하늘색
64,CB,코발트블루
65,HG,형광그린
66,GD,골드
67,IB,연한 베이지
