product_id,product_code,product_name
1,AKL3JP011,S-뒷주름퍼JP
2,AKL7KT017,P3-셀폴라니트
3,AKL3PT006,C-올리기모와이드슬랙스
4,AKJ7TS001,J-베이직폴라T
5,BJK4SB009,세무하이탑(9541)
6,BKB7BG009,스카이크로스백
7,AIK7DP001,무릎절개해지청
8,AKJ7JP006,J-무브덕다운점퍼
9,AKK3PT005,C-스타기모통(23)
10,AKK3DP005,C-기모와이드블랙진
11,AKK3PT004,C-스타기모시보리팬츠
12,AKK7KT014,J-스케치래빗니트
13,AKJ7JP013,J-카라덕다운점퍼
14,BKL7MF001,모닝퍼머플러
15,AJK7VT006,라인다운조끼
16,AJL7VT003,꽃패치조끼
17,AKL7JP013,P4-배색라인덕다운
18,AKK7VT002,J-로티덕다운조끼
19,AJA3JP005,S-레터링막스JP
20,AKL7KT003,P-로제폴라니트
21,AKI3PT015,C-타로코튼와이드팬츠
22,AIA7JP004,양털쉘파JP 
23,AKL7PT001,P-미우밴딩팬츠
24,BKK4MF003,플라워울삼각
25,AKK7JP021,J-컬러링퍼후드점퍼
26,AKK7JP024,P-비조폭스구스다운
27,AKK7KT021,J-파인단추니트
28,AKK7VT021,J-폴라집업조끼
29,AKJ7KT003,J-큐빅골지니트
30,AKK3PT007,S-기모건빵바지
31,AKJ3VT004,C-버튼니트조끼
32,AKL7VT001,J-벨트후드덕다운조끼
33,AKL3KT001,S-셀리폴라KT
34,AKJ7JP010,J-네모덕다운점퍼
35,AKL7KT020,P3-크로스폴라니트
36,AKK7JP019,P-샤인후드덕다운
37,AKL7KT005,J-젤리반폴니트
38,AKK3PT015,C-윈디울부츠컷
39,BKI7BG009,리치투웨이백
40,AKL3DP004,C-브로디롱큐롯데님(기모)
41,BKK7BG004,J-A비즈백팩
42,AKK7TS002,P-폴라기모T
43,AJL3PT003,C-빅포켓배기팬츠
44,AHI7OP005,브이니트OP
45,AKI7JP014,J-니쥬니트집업
46,AKL7KT019,P3-사선반폴니트
47,AKI3DP002,C-브로디롱큐롯데님
48,AKL7KT016,J-글리배색반폴니트
49,BKL7MF005,컬러풀머플러
50,BKL4CP007,타조돌돌이챙
51,AKL7JP001,P-모드롱덕다운패딩
52,AKK7JP025,J-엔조퍼후드점퍼
53,AKJ7DP002,J-로튼데님배기
54,AKI7KT012,J-컬러반폴니트
55,AKL7KT015,J-눈꽃소녀니트
56,AKK7VT013,J-페이퍼니트조끼
57,BKJ3CP007,울야구
58,AEJ1OP501,리옹 후드 슬리브리스 코튼원피스
59,AKL3JP009,C-사각자수후드패딩
60,AIL3PT015,Q-밍끈포켓
61,AKK7VT003,J-하이넥덕다운조끼
62,AKL7DP006,P3-기모일자통데님
63,AKK7JP020,J-밍크라인덕다운
64,AKK7KT012,J-무지폴라니트
65,AIL3PT019,S-올무지통PT
66,AKI7KT017,J-로엔카라니트
67,AEH1SK101,르니 디바이디드 스커트팬츠
68,AKK7SK003,J-소피니트스커트
69,AKK7KT027,P-뒷트임단니트
70,AKK3KT003,S-어깨버튼니트
71,AKK7KT020,J-하이캣자수니트
72,AHK3VT007,Q-주머니삔줄조끼
73,AKL3KT004,S-분홍꽃KT
74,AKK7JP006,J-삥줄포인덕다운점퍼
75,AKK3KT002,C-살롱반폴니트
76,AKJ7KT001,J-심플라운드니트
77,AKL7JP003,P-니트카라덕다운
78,AKK7KT017,J-루이폴라니트
79,AKK3DP004,C-제리기모와이드데님
80,AKK3DP002,C-페이기모통데님
81,AKK3PT017,C-헤링뒷밴딩슬랙스
82,AKL7KT007,J-삼색단니트
83,AJL3KT001,C-컬러큐브니트
84,AKK7VT007,J-롱폴라조끼
85,AJL3JP020,S-지크구스롱JP
86,AKL3PT005,C-래핑패딩팬츠
87,AEH1TS301,젠 실켓모달 드레이퍼리 티셔츠
88,BKI4SC003,데일리삭스(3pcs)
89,AKL7KT014,J-캣골지폴라니트
90,AKK3DP001,C-다비기모통데님
91,AKJ7KT002,J-이지컬러니트
92,AKK7VT020,J-파머니트조끼
93,AKJ3KT004,C-모아니반폴니트
94,AKL3VT002,C-라비울터들베스트
95,AKK7KT004,J-핸드반폴니트
96,AKI3VT003,C-울스티치베스트
97,AKL7JP017,P3-세모끈덕다운
98,AKI7JP007,J-도트니트자켓
99,AKL7KT021,P3-미드폴라니트
100,BJK4SC007,키키삭스(2pcs)
101,BJK4SC001,베이직삭스(3pcs)
102,AKL7TS006,J-위드미후드T
103,AJK3KT004,C-카렌폴라니트
104,AKL7KT012,J-페어리니트
105,BIB7BG018,투지퍼가죽백
106,AKI7VT003,J-해리배색조끼
107,AIL3KT028,S-칼라다이아
108,AKK3PT009,C-마벨기모통슬랙스
109,AKL7KT002,P-윈터폴라니트
110,AKI7JK008,J-코듀카라자켓
111,AKL7JP006,P-카라퀄팅덕다운
112,AKK7VT023,P-플라워집업조끼
113,BJL4MF003,지도리울머플러
