?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
1,2024-01-01,직영점,A0086,부산구서점(직),1,정상,일반판매,AKL3JP011,S-뒷주름퍼JP,BE,베이지,F,판매
2,2024-01-01,직영점,A0086,부산구서점(직),2,정상,일반판매,AKL7KT017,P3-셀폴라니트,GR,회색,F,판매
3,2024-01-01,직영점,A0086,부산구서점(직),3,정상,일반판매,AKL3PT006,C-올리기모와이드슬랙스,BK,블랙,L,판매
4,2024-01-01,직영점,A0086,부산구서점(직),4,기획,일반판매,AKJ7TS001,J-베이직폴라T,BK,블랙,F,판매
5,2024-01-01,직영점,A0086,부산구서점(직),5,정상,일반판매,BJK4SB009,세무하이탑(9541),BK,블랙,35,판매
6,2024-01-02,직영점,A0086,부산구서점(직),1,정상,일반판매,BKB7BG009,스카이크로스백,BK,블랙,F,판매
7,2024-01-02,직영점,A0086,부산구서점(직),2,정상,일반판매,AIK7DP001,무릎절개해지청,DL,진청,F,판매
8,2024-01-02,직영점,A0086,부산구서점(직),3,정상,일반판매,AKJ7JP006,J-무브덕다운점퍼,GR,회색,F,반품
9,2024-01-02,직영점,A0086,부산구서점(직),3,정상,일반판매,AKK3PT005,C-스타기모통(23),OT,오트밀,L,반품
10,2024-01-02,직영점,A0086,부산구서점(직),4,정상,일반판매,AKJ7JP006,J-무브덕다운점퍼,PK,핑크,F,판매
11,2024-01-02,직영점,A0086,부산구서점(직),4,정상,일반판매,AKK3PT005,C-스타기모통(23),OT,오트밀,L,판매
12,2024-01-03,직영점,A0086,부산구서점(직),1,정상,일반판매,AKK3DP005,C-기모와이드블랙진,BK,블랙,L,판매
13,2024-01-03,직영점,A0086,부산구서점(직),1,정상,일반판매,AKK3PT004,C-스타기모시보리팬츠,OT,오트밀,L,판매
14,2024-01-03,직영점,A0086,부산구서점(직),1,정상,일반판매,AKK7KT014,J-스케치래빗니트,PK,핑크,F,판매
15,2024-01-03,직영점,A0086,부산구서점(직),1,정상,일반판매,AKK7KT014,J-스케치래빗니트,BE,베이지,F,판매
16,2024-01-03,직영점,A0086,부산구서점(직),1,정상,일반판매,AKJ7JP013,J-카라덕다운점퍼,BK,블랙,F,판매
17,2024-01-03,직영점,A0086,부산구서점(직),1,정상,일반판매,BKL7MF001,모닝퍼머플러,BE,베이지,F,판매
18,2024-01-03,직영점,A0086,부산구서점(직),2,정상,일반판매,AKK3DP005,C-기모와이드블랙진,BK,블랙,L,반품
19,2024-01-03,직영점,A0086,부산구서점(직),2,정상,일반판매,AKK3PT004,C-스타기모시보리팬츠,OT,오트밀,L,반품
20,2024-01-03,직영점,A0086,부산구서점(직),2,정상,일반판매,AKK7KT014,J-스케치래빗니트,PK,핑크,F,반품
21,2024-01-03,직영점,A0086,부산구서점(직),2,정상,일반판매,AKK7KT014,J-스케치래빗니트,BE,베이지,F,반품
22,2024-01-03,직영점,A0086,부산구서점(직),2,정상,일반판매,AKJ7JP013,J-카라덕다운점퍼,BK,블랙,F,반품
