?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
1,2024-01-01,직영점,A0024,부산두실점(직),1,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매
2,2024-01-01,직영점,A0024,부산두실점(직),2,정상,일반판매,AKK7CA004,J-라운드단추가디건,BR,브라운,F,판매
3,2024-01-01,직영점,A0024,부산두실점(직),3,정상,일반판매,AKK7CA004,J-라운드단추가디건,MU,머스타드,F,판매
4,2024-01-01,직영점,A0024,부산두실점(직),4,정상,20% 할인(직원할인),AKL3CT002,Z-케이롱핸메코트,OT,오트밀,F,판매
5,2024-01-01,직영점,A0024,부산두실점(직),5,정상,일반판매,AIJ3KT007,S-청배색브이니트,BE,베이지,F,판매
6,2024-01-01,직영점,A0024,부산두실점(직),6,정상,일반판매,AHK3DP007,Z-핀탁청슬림,DL,진청,F,판매
7,2024-01-01,직영점,A0024,부산두실점(직),6,정상,일반판매,AKJ7PT005,J-라인핀턱슬랙스,BK,블랙,S,판매
8,2024-01-01,직영점,A0024,부산두실점(직),6,정상,일반판매,AJK3KT003,C-숄더퍼프반목니트,YE,옐로우,F,판매
9,2024-01-02,직영점,A0024,부산두실점(직),1,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매
10,2024-01-02,직영점,A0024,부산두실점(직),2,기획,일반판매,AKL7KT002,P-윈터폴라니트,GE,그린,F,판매
11,2024-01-02,직영점,A0024,부산두실점(직),3,정상,일반판매,AKK7SK005,J-허밍니트스커트,BE,베이지,F,판매
12,2024-01-02,직영점,A0024,부산두실점(직),3,정상,일반판매,AKI7JP007,J-도트니트자켓,BK,블랙,F,판매
13,2024-01-02,직영점,A0024,부산두실점(직),4,기획,일반판매,AKK7JP024,P-비조폭스구스다운,BG,청록색,F,판매
14,2024-01-02,직영점,A0024,부산두실점(직),5,기획,일반판매,AKK7JP024,P-비조폭스구스다운,BG,청록색,F,반품
