?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
1,2024-01-02,직영점,A0070,부산만덕점(직),1,정상,20% 할인(직원할인),AKK7KT015,J-해피반폴니트,GE,그린,F,판매
2,2024-01-02,직영점,A0070,부산만덕점(직),1,정상,20% 할인(직원할인),AKK3PT013,C-시보리골덴배기(기모),KH,카키,M,판매
3,2024-01-02,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKK7VT021,J-폴라집업조끼,GR,회색,F,판매
4,2024-01-02,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKK7VT021,J-폴라집업조끼,IV,아이보리,F,판매
5,2024-01-02,직영점,A0070,부산만덕점(직),3,정상,일반판매,BJJ4CP006,체크패딩모자,BK,블랙,F,판매
6,2024-01-02,직영점,A0070,부산만덕점(직),4,정상,일반판매,AJK7KT011,하트소녀니트,BL,블루,F,판매
7,2024-01-03,직영점,A0070,부산만덕점(직),1,정상,일반판매,BKL7BG013,J-트론백팩,BK,블랙,F,판매
8,2024-01-03,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKL7JP012,P3-무스탕덕다운패딩,BE,베이지,F,판매
9,2024-01-04,직영점,A0070,부산만덕점(직),1,기획,일반판매,AKK7JP016,P-토니덕다운점퍼,BE,베이지,F,판매
10,2024-01-04,직영점,A0070,부산만덕점(직),2,정상,일반판매,BKL7MF004,와플니트고리,YE,옐로우,F,판매
11,2024-01-04,직영점,A0070,부산만덕점(직),3,정상,일반판매,BKL4MF001,울제비니트고리,BK,블랙,F,판매
12,2024-01-04,직영점,A0070,부산만덕점(직),4,정상,일반판매,AEK1PT602,오발 캐주얼 바지,GR,회색,M,판매
13,2024-01-04,직영점,A0070,부산만덕점(직),5,정상,일반판매,AJK3JK002,S-차이나퍼JK,IV,아이보리,F,판매
14,2024-01-05,직영점,A0070,부산만덕점(직),1,정상,일반판매,AEJ1KN201,슬로베니아 니트케이프,BK,블랙,M,판매
15,2024-01-06,직영점,A0070,부산만덕점(직),1,기획,일반판매,AKL7DP003,P-포켓데님배기,ML,중청,L,판매
16,2024-01-06,직영점,A0070,부산만덕점(직),2,정상,일반판매,AEK1VT401,가죽 롱 원피스코트,BR,브라운,L,판매
17,2024-01-06,직영점,A0070,부산만덕점(직),3,정상,일반판매,AEK1VT401,가죽 롱 원피스코트,BR,브라운,L,판매
18,2024-01-08,직영점,A0070,부산만덕점(직),1,정상,일반판매,BKL4GV001,잔꽃포근장갑,XX,XX,F,판매
19,2024-01-08,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKK7VT015,J-엘라퍼조끼,BR,브라운,F,판매
20,2024-01-08,직영점,A0070,부산만덕점(직),2,정상,일반판매,BKL4MF003,메모링니트머플러,BK,블랙,F,판매
21,2024-01-08,직영점,A0070,부산만덕점(직),3,정상,일반판매,AKI3PT016,C-시크릿밴드배기,BE,베이지,M,판매
22,2024-01-08,직영점,A0070,부산만덕점(직),3,정상,일반판매,AKI3PT016,C-시크릿밴드배기,BE,베이지,L,판매
23,2024-01-08,직영점,A0070,부산만덕점(직),4,정상,일반판매,AKI3PT016,C-시크릿밴드배기,BE,베이지,M,판매
24,2024-01-08,직영점,A0070,부산만덕점(직),5,정상,일반판매,AEI1TS301,베네치아 프릴 터틀넥 풀오버,GE,그린,M,판매
25,2024-01-08,직영점,A0070,부산만덕점(직),5,정상,일반판매,BKL4CP016,뜨뜨귀꽈배기햇,LB,연한베이지,F,판매
26,2024-01-09,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKI7CA006,J-퍼프카라가디건,BK,블랙,F,판매
27,2024-01-09,직영점,A0070,부산만덕점(직),1,기획,일반판매,AKL7PT001,P-미우밴딩팬츠,BR,브라운,M,판매
28,2024-01-09,직영점,A0070,부산만덕점(직),2,정상,일반판매,AIK7KT001,레이스브이넥KT,GR,회색,F,판매
29,2024-01-09,직영점,A0070,부산만덕점(직),2,기획,일반판매,AKK7TS002,P-폴라기모T,MO,모카,F,판매
30,2024-01-09,직영점,A0070,부산만덕점(직),3,정상,일반판매,BKL4CP005,라쿤돌돌베레,KH,카키,F,판매
31,2024-01-09,직영점,A0070,부산만덕점(직),4,정상,일반판매,AKK7VT021,J-폴라집업조끼,GR,회색,F,판매
32,2024-01-10,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKK3PT015,C-윈디울부츠컷,CH,챠콜,L,판매
33,2024-01-10,직영점,A0070,부산만덕점(직),2,정상,20% 할인(직원할인),AKK7JP011,J-뽀글후드집업,BR,브라운,F,판매
34,2024-01-10,직영점,A0070,부산만덕점(직),2,정상,20% 할인(직원할인),AKL7KT008,J-스트라이프니트,BE,베이지,F,판매
35,2024-01-11,직영점,A0070,부산만덕점(직),1,정상,일반판매,AEI2BL602,샌디에고 데님셔츠 점퍼,BL,블루,M,판매
36,2024-01-11,직영점,A0070,부산만덕점(직),1,기획,일반판매,AKL7PT002,P-버클부츠컷슬랙스,BK,블랙,L,판매
37,2024-01-11,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKK7KT014,J-스케치래빗니트,NA,네이비,F,판매
38,2024-01-11,직영점,A0070,부산만덕점(직),2,정상,일반판매,AIL3TS011,Q-리틀베어,BL,블루,F,판매
39,2024-01-11,직영점,A0070,부산만덕점(직),3,기획,일반판매,AKK7JP012,P-벨티드덕다운패딩,KH,카키,L,판매
40,2024-01-11,직영점,A0070,부산만덕점(직),4,정상,일반판매,AKI7TS002,J-비즈가방T,OR,오렌지,F,판매
41,2024-01-11,직영점,A0070,부산만덕점(직),5,정상,20% 할인(직원할인),AKI3PT005,C-사이드라인배기,BK,블랙,L,판매
42,2024-01-11,직영점,A0070,부산만덕점(직),5,정상,일반판매,AKL7KT017,P3-셀폴라니트,BK,블랙,F,판매
43,2024-01-11,직영점,A0070,부산만덕점(직),5,정상,일반판매,AKL7KT020,P3-크로스폴라니트,BE,베이지,F,판매
44,2024-01-11,직영점,A0070,부산만덕점(직),5,정상,20% 할인(직원할인),BKL4SC008,포근니트삭스(2pcs),XX,XX,F,판매
45,2024-01-11,직영점,A0070,부산만덕점(직),6,정상,일반판매,AKL3JK003,S-페이크퍼망토JK,PP,퍼플,F,판매
46,2024-01-11,직영점,A0070,부산만덕점(직),7,정상,일반판매,AKK3PT006,S-시보리기모배기팬츠,BK,블랙,L,판매
47,2024-01-11,직영점,A0070,부산만덕점(직),7,정상,일반판매,AKK3PT006,S-시보리기모배기팬츠,BK,블랙,M,판매
48,2024-01-12,직영점,A0070,부산만덕점(직),1,정상,일반판매,BKL4SC008,포근니트삭스(2pcs),XX,XX,F,판매
49,2024-01-12,직영점,A0070,부산만덕점(직),2,정상,일반판매,AEJ1JP501,롬바르드 로맨틱스포티 점퍼,GR,회색,L,판매
50,2024-01-12,직영점,A0070,부산만덕점(직),3,정상,일반판매,BJK4GV002,엄지검지터치장갑,XX,XX,F,판매
51,2024-01-12,직영점,A0070,부산만덕점(직),4,정상,일반판매,AKK7JP011,J-뽀글후드집업,BE,베이지,F,판매
52,2024-01-12,직영점,A0070,부산만덕점(직),5,정상,일반판매,AIK3PT018,Q-기모트임PT,BK,블랙,L,판매
53,2024-01-12,직영점,A0070,부산만덕점(직),6,정상,일반판매,AKL7KT012,J-페어리니트,BE,베이지,F,판매
54,2024-01-13,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKK7JP025,J-엔조퍼후드점퍼,LV,연보라,F,판매
55,2024-01-13,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKB7WS002,포근체크셔츠,RE,레드,F,판매
