?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
1,2024-01-02,직영점,A0020,부산모라점(직),1,정상,일반판매,BKJ3CP005,양털리본보넷,KH,카키,F,판매
2,2024-01-02,직영점,A0020,부산모라점(직),2,정상,일반판매,AKL7JP013,P4-배색라인덕다운,PP,퍼플,F,판매
3,2024-01-02,직영점,A0020,부산모라점(직),3,정상,일반판매,KKF3AK002,KC-도트홀스니트,IV,아이보리,F,판매
4,2024-01-02,직영점,A0020,부산모라점(직),3,정상,일반판매,AKK7CT001,J-후드핸드메이드코트,BR,브라운,F,판매
5,2024-01-02,직영점,A0020,부산모라점(직),4,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매
6,2024-01-02,직영점,A0020,부산모라점(직),5,정상,일반판매,AKL7KT017,P3-셀폴라니트,GR,회색,F,판매
7,2024-01-02,직영점,A0020,부산모라점(직),6,정상,일반판매,AKL3KT003,S-크림폴라KT,IV,아이보리,F,판매
8,2024-01-03,직영점,A0020,부산모라점(직),1,정상,일반판매,BKL4GV005,민들레반장갑,XX,XX,F,판매
9,2024-01-03,직영점,A0020,부산모라점(직),2,정상,일반판매,AKK7KT014,J-스케치래빗니트,NA,네이비,F,판매
10,2024-01-03,직영점,A0020,부산모라점(직),3,정상,일반판매,AKK3DP007,C-헤비와이드기모부츠컷데님,DL,진청,M,판매
11,2024-01-04,직영점,A0020,부산모라점(직),1,기획,일반판매,AKL7KT003,P-로제폴라니트,BK,블랙,F,판매
12,2024-01-04,직영점,A0020,부산모라점(직),2,정상,일반판매,BIF4MF009,마삼각2,WH,화이트,F,판매
13,2024-01-04,직영점,A0020,부산모라점(직),2,정상,일반판매,BJE4MF007,코튼삼각,YE,옐로우,F,판매
14,2024-01-04,직영점,A0020,부산모라점(직),2,정상,일반판매,BHG4MF004,마물나염,BE,베이지,F,판매
15,2024-01-04,직영점,A0020,부산모라점(직),2,정상,일반판매,BIL4MF016,울무지머플러,MU,머스타드,F,판매
16,2024-01-04,직영점,A0020,부산모라점(직),2,정상,일반판매,BJK4MF006,와플머플러,BL,블루,F,판매
17,2024-01-04,직영점,A0020,부산모라점(직),3,기획,일반판매,AKJ7TS001,J-베이직폴라T,BK,블랙,F,판매
18,2024-01-04,직영점,A0020,부산모라점(직),4,정상,일반판매,AKJ7JP006,J-무브덕다운점퍼,PK,핑크,F,판매
19,2024-01-04,직영점,A0020,부산모라점(직),4,정상,일반판매,BJK4SC003,메이플중목삭스(2pcs),XX,XX,F,판매
20,2024-01-04,직영점,A0020,부산모라점(직),4,정상,일반판매,BHL4SC002,캐주얼양말(4pcs),XX,XX,F,판매
21,2024-01-04,직영점,A0020,부산모라점(직),5,정상,일반판매,ZA00CO003,카페라떼(음료),XX,XX,XX,판매
22,2024-01-04,직영점,A0020,부산모라점(직),6,기획,일반판매,AKK7JP019,P-샤인후드덕다운,BK,블랙,F,판매
