?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
1,2024-01-02,직영점,A0025,부산연지점(직),1,정상,일반판매,BKL4MF001,울제비니트고리,BK,블랙,F,판매
2,2024-01-02,직영점,A0025,부산연지점(직),1,정상,일반판매,AJA3JP006,S-사각체크JP,BE,베이지,F,판매
3,2024-01-02,직영점,A0025,부산연지점(직),2,정상,일반판매,AKL7KT020,P3-크로스폴라니트,GR,회색,F,판매
4,2024-01-02,직영점,A0025,부산연지점(직),3,정상,일반판매,AJL3KT013,S-호피포켓니트,BE,베이지,F,판매
5,2024-01-02,직영점,A0025,부산연지점(직),4,정상,일반판매,AKK7SK005,J-허밍니트스커트,BE,베이지,F,판매
6,2024-01-03,직영점,A0025,부산연지점(직),1,정상,일반판매,AKL3VT001,C-울후드니트조끼(23),CH,챠콜,F,판매
7,2024-01-03,직영점,A0025,부산연지점(직),2,정상,일반판매,AKK3PT005,C-스타기모통(23),CH,챠콜,M,판매
8,2024-01-04,직영점,A0025,부산연지점(직),1,정상,일반판매,AKL3KT004,S-분홍꽃KT,GR,회색,F,판매
9,2024-01-04,직영점,A0025,부산연지점(직),2,기획,일반판매,AKK7TS002,P-폴라기모T,BG,청록색,F,판매
10,2024-01-04,직영점,A0025,부산연지점(직),3,정상,20% 할인(직원할인),BKI7BG009,리치투웨이백,BK,블랙,F,판매
11,2024-01-04,직영점,A0025,부산연지점(직),4,정상,일반판매,AKK3PT013,C-시보리골덴배기(기모),BE,베이지,M,판매
12,2024-01-04,직영점,A0025,부산연지점(직),5,기획,일반판매,AKK7VT005,J-하이넥패딩조끼,IV,아이보리,F,판매
13,2024-01-04,직영점,A0025,부산연지점(직),6,정상,일반판매,BKI4SB001,큐빅밴드키높이(5091),BK,블랙,40,판매
14,2024-01-04,직영점,A0025,부산연지점(직),7,기획,일반판매,AKL7PT002,P-버클부츠컷슬랙스,BK,블랙,S,판매
15,2024-01-04,직영점,A0025,부산연지점(직),8,정상,일반판매,BJK4CP002,방울니트챙,BK,블랙,F,판매
16,2024-01-04,직영점,A0025,부산연지점(직),9,정상,일반판매,AKK7KT012,J-무지폴라니트,MO,모카,F,판매
17,2024-01-04,직영점,A0025,부산연지점(직),10,정상,일반판매,AJK3KT004,C-카렌폴라니트,RB,적갈색/벽돌,F,판매
18,2024-01-04,직영점,A0025,부산연지점(직),10,정상,일반판매,AKJ7PT003,J-가든자수골덴배기,BE,베이지,F,판매
19,2024-01-04,직영점,A0025,부산연지점(직),10,정상,일반판매,AKK7VT013,J-페이퍼니트조끼,RE,레드,F,판매
20,2024-01-04,직영점,A0025,부산연지점(직),10,기획,일반판매,AKL7KT003,P-로제폴라니트,RE,레드,F,판매
21,2024-01-04,직영점,A0025,부산연지점(직),10,정상,일반판매,BGL3MF035,골지호피,MU,머스타드,F,판매
22,2024-01-04,직영점,A0025,부산연지점(직),11,정상,일반판매,BJL4MF014,그리미밍크,GE,그린,F,판매
23,2024-01-04,직영점,A0025,부산연지점(직),11,정상,일반판매,BGL3MF035,골지호피,MU,머스타드,F,판매
24,2024-01-05,직영점,A0025,부산연지점(직),1,정상,일반판매,AKK7VT021,J-폴라집업조끼,IV,아이보리,F,판매
25,2024-01-05,직영점,A0025,부산연지점(직),2,정상,일반판매,BKL4CP016,뜨뜨귀꽈배기햇,CG,차콜그레이,F,판매
26,2024-01-05,직영점,A0025,부산연지점(직),3,정상,일반판매,AKL3OP003,C-반집업기모OPS,BK,블랙,F,판매
27,2024-01-05,직영점,A0025,부산연지점(직),4,정상,일반판매,BKL4SC001,레이스기모덧신(2pcs),XX,XX,F,판매
28,2024-01-05,직영점,A0025,부산연지점(직),4,정상,일반판매,BJL4MF005,자석방울목도리,BK,블랙,F,판매
29,2024-01-05,직영점,A0025,부산연지점(직),5,기획,일반판매,AKL7KT003,P-로제폴라니트,RE,레드,F,판매
30,2024-01-05,직영점,A0025,부산연지점(직),5,정상,일반판매,AKJ7KT006,J-비비드폴라니트,BR,브라운,F,판매
31,2024-01-05,직영점,A0025,부산연지점(직),6,정상,일반판매,AKL7KT015,J-눈꽃소녀니트,BE,베이지,F,판매
32,2024-01-05,직영점,A0025,부산연지점(직),7,정상,일반판매,AKL7KT007,J-삼색단니트,BE,베이지,F,판매
33,2024-01-07,직영점,A0025,부산연지점(직),1,정상,일반판매,AKK7VT008,J-포리덕다운조끼,PP,퍼플,F,판매
34,2024-01-07,직영점,A0025,부산연지점(직),2,정상,일반판매,BKL7MF005,컬러풀머플러,YE,옐로우,F,판매
35,2024-01-07,직영점,A0025,부산연지점(직),2,정상,일반판매,AKJ3CA001,C-필링도트가디건,BK,블랙,F,판매
36,2024-01-07,직영점,A0025,부산연지점(직),2,정상,일반판매,AKL7KT008,J-스트라이프니트,BE,베이지,F,판매
37,2024-01-08,직영점,A0025,부산연지점(직),1,정상,일반판매,AKK3PT007,S-기모건빵바지,BK,블랙,M,판매
38,2024-01-08,직영점,A0025,부산연지점(직),2,정상,일반판매,AHK7KT010,라인KT,RE,레드,F,판매
39,2024-01-08,직영점,A0025,부산연지점(직),3,정상,일반판매,AKL7KT011,J-에어벌룬니트,NA,네이비,F,판매
40,2024-01-08,직영점,A0025,부산연지점(직),3,정상,일반판매,AKK4CT001,S-캐시후드핸드메이드,IV,아이보리,F,판매
41,2024-01-08,직영점,A0025,부산연지점(직),4,정상,일반판매,AKL7KT011,J-에어벌룬니트,NA,네이비,F,반품
42,2024-01-08,직영점,A0025,부산연지점(직),4,정상,일반판매,AKK4CT001,S-캐시후드핸드메이드,IV,아이보리,F,반품
43,2024-01-08,직영점,A0025,부산연지점(직),5,정상,일반판매,AKK4CT001,S-캐시후드핸드메이드,IV,아이보리,F,판매
44,2024-01-08,직영점,A0025,부산연지점(직),6,기획,일반판매,AKK7TS002,P-폴라기모T,MO,모카,F,판매
45,2024-01-09,직영점,A0025,부산연지점(직),1,정상,일반판매,AKL7JP018,P3-오렌지덕다운패딩,OR,오렌지,F,판매
46,2024-01-09,직영점,A0025,부산연지점(직),2,기획,일반판매,AKL7KT001,P-모드폴라니트,IV,아이보리,F,판매
47,2024-01-09,직영점,A0025,부산연지점(직),2,정상,일반판매,AKJ7KT006,J-비비드폴라니트,OT,오트밀,F,판매
48,2024-01-09,직영점,A0025,부산연지점(직),2,정상,일반판매,AKL3KT004,S-분홍꽃KT,BK,블랙,F,판매
49,2024-01-11,직영점,A0025,부산연지점(직),1,정상,일반판매,BKL7MF004,와플니트고리,YE,옐로우,F,판매
50,2024-01-11,직영점,A0025,부산연지점(직),2,정상,일반판매,BGL3MF035,골지호피,MU,머스타드,F,판매
51,2024-01-11,직영점,A0025,부산연지점(직),3,정상,20% 할인(직원할인),AKK7JP027,J-버클스트링점퍼,GR,회색,F,판매
52,2024-01-11,직영점,A0025,부산연지점(직),3,정상,20% 할인(직원할인),AKL7PT004,J-다이아누비팬츠,BE,베이지,F,판매
53,2024-01-11,직영점,A0025,부산연지점(직),4,기획,일반판매,AKL7KT003,P-로제폴라니트,BK,블랙,F,판매
54,2024-01-11,직영점,A0025,부산연지점(직),5,정상,일반판매,AEK1BL401,기모 데님 워싱 셔츠,BK,블랙,L,판매
55,2024-01-12,직영점,A0025,부산연지점(직),1,정상,일반판매,AKL7KT012,J-페어리니트,BE,베이지,F,판매
56,2024-01-12,직영점,A0025,부산연지점(직),1,정상,일반판매,AKK7KT014,J-스케치래빗니트,PK,핑크,F,판매
57,2024-01-12,직영점,A0025,부산연지점(직),2,정상,일반판매,AKK7KT017,J-루이폴라니트,PP,퍼플,F,판매
