?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
1,2024-01-01,직영점,A0006,부산하단점,1,기획,일반판매,AKJ7VT002,J-파스텔덕다운조끼,SO,소라,F,판매
2,2024-01-01,직영점,A0006,부산하단점,1,정상,일반판매,AKJ7JP012,J-리버시블덕다운점퍼,PK,핑크,F,판매
3,2024-01-01,직영점,A0006,부산하단점,1,정상,일반판매,AKI7VT008,J-야옹포켓니트조끼,YE,옐로우,F,판매
4,2024-01-01,직영점,A0006,부산하단점,2,정상,일반판매,BKL4SC004,타일도톰삭스(2pcs),XX,XX,F,판매
5,2024-01-01,직영점,A0006,부산하단점,2,정상,일반판매,BKL4SC008,포근니트삭스(2pcs),XX,XX,F,판매
6,2024-01-02,직영점,A0006,부산하단점,1,정상,일반판매,AKJ3KT004,C-모아니반폴니트,BR,브라운,F,판매
7,2024-01-02,직영점,A0006,부산하단점,1,정상,일반판매,AEK1PT602,오발 캐주얼 바지,BE,베이지,M,판매
8,2024-01-02,직영점,A0006,부산하단점,1,정상,일반판매,AKI7WS003,J-빈티지체크셔츠,YE,옐로우,F,판매
9,2024-01-02,직영점,A0006,부산하단점,1,정상,일반판매,AKL7TS002,J-세븐맨투맨,BK,블랙,F,판매
10,2024-01-02,직영점,A0006,부산하단점,1,정상,일반판매,AKK7VT021,J-폴라집업조끼,GR,회색,F,판매
11,2024-01-02,직영점,A0006,부산하단점,2,정상,일반판매,AKK7VT002,J-로티덕다운조끼,BK,블랙,F,판매
12,2024-01-02,직영점,A0006,부산하단점,3,정상,일반판매,AKK7KT015,J-해피반폴니트,BK,블랙,F,판매
13,2024-01-02,직영점,A0006,부산하단점,3,정상,일반판매,AKK7KT015,J-해피반폴니트,GR,회색,F,판매
14,2024-01-02,직영점,A0006,부산하단점,4,정상,일반판매,AKK7JP004,J-라쿤덕다운점퍼,PK,핑크,F,판매
15,2024-01-02,직영점,A0006,부산하단점,4,정상,일반판매,AKL3JP011,S-뒷주름퍼JP,BK,블랙,F,판매
16,2024-01-02,직영점,A0006,부산하단점,5,정상,일반판매,BJK4SC003,메이플중목삭스(2pcs),XX,XX,F,판매
17,2024-01-02,직영점,A0006,부산하단점,5,정상,일반판매,AKJ3KT004,C-모아니반폴니트,BR,브라운,F,판매
18,2024-01-02,직영점,A0006,부산하단점,5,정상,일반판매,AJI7KT003,심플골지니트,BE,베이지,F,판매
19,2024-01-02,직영점,A0006,부산하단점,6,정상,일반판매,AKK7VT019,J-멜로우니트조끼,GE,그린,F,판매
20,2024-01-02,직영점,A0006,부산하단점,7,정상,일반판매,BKL7MF006,프라임퍼머플러,PK,핑크,F,판매
21,2024-01-02,직영점,A0006,부산하단점,7,정상,일반판매,AKK3PT005,C-스타기모통(23),CH,챠콜,L,판매
22,2024-01-02,직영점,A0006,부산하단점,8,기획,일반판매,AKK7JP019,P-샤인후드덕다운,BK,블랙,F,판매
23,2024-01-03,직영점,A0006,부산하단점,1,정상,일반판매,AKI7CA002,J-스타홀스가디건,IV,아이보리,F,판매
24,2024-01-03,직영점,A0006,부산하단점,2,정상,일반판매,AKB3TS002,C-레터링오버라운드티,WH,화이트,F,판매
25,2024-01-03,직영점,A0006,부산하단점,2,정상,일반판매,AKK3DP005,C-기모와이드블랙진,BK,블랙,L,판매
26,2024-01-03,직영점,A0006,부산하단점,2,정상,일반판매,BKL4MF005,울컬링마름모,BR,브라운,F,판매
27,2024-01-03,직영점,A0006,부산하단점,2,정상,일반판매,BDJ0MF004,야옹이,WN,와인,XX,판매
28,2024-01-03,직영점,A0006,부산하단점,2,정상,일반판매,BJK4MF003,사선단가라,OR,오렌지,F,판매
29,2024-01-03,직영점,A0006,부산하단점,2,정상,일반판매,AEJ1KN501,브루클린 앙고라니트 풀오버,BK,블랙,M,판매
30,2024-01-03,직영점,A0006,부산하단점,2,정상,일반판매,AKI7DP003,J-꽃데님배기,ML,중청,F,판매
31,2024-01-03,직영점,A0006,부산하단점,3,정상,일반판매,AKK3PT002,C-더치골덴통바지(기모),BE,베이지,M,판매
32,2024-01-03,직영점,A0006,부산하단점,4,정상,일반판매,AKK3PT006,S-시보리기모배기팬츠,BK,블랙,M,판매
33,2024-01-03,직영점,A0006,부산하단점,4,정상,일반판매,AKK3PT002,C-더치골덴통바지(기모),CH,챠콜,L,판매
34,2024-01-03,직영점,A0006,부산하단점,5,정상,일반판매,AKL3PT006,C-올리기모와이드슬랙스,BE,베이지,F,판매
35,2024-01-03,직영점,A0006,부산하단점,6,정상,일반판매,AKE3CT002,S-뒷날개패치CT,PK,핑크,F,판매
36,2024-01-03,직영점,A0006,부산하단점,7,정상,일반판매,AKE3CT002,S-뒷날개패치CT,PK,핑크,F,반품
37,2024-01-03,직영점,A0006,부산하단점,8,정상,일반판매,BKI7BG012,보스턴크로스백,BK,블랙,F,판매
38,2024-01-03,직영점,A0006,부산하단점,9,정상,일반판매,AKI7CA002,J-스타홀스가디건,IV,아이보리,F,반품
39,2024-01-03,직영점,A0006,부산하단점,10,정상,일반판매,AKK7JP027,J-버클스트링점퍼,GR,회색,F,판매
40,2024-01-03,직영점,A0006,부산하단점,11,기획,일반판매,AKK7TS002,P-폴라기모T,BK,블랙,F,판매
41,2024-01-04,직영점,A0006,부산하단점,1,정상,일반판매,AKK7KT014,J-스케치래빗니트,BE,베이지,F,판매
42,2024-01-04,직영점,A0006,부산하단점,2,정상,일반판매,AKK7KT001,J-도톰꽈배기니트,PK,핑크,F,판매
43,2024-01-04,직영점,A0006,부산하단점,2,정상,일반판매,AKC3TS034,C-홀리데이배색라운드T,CR,크림,F,판매
44,2024-01-04,직영점,A0006,부산하단점,3,정상,일반판매,AKK7VT021,J-폴라집업조끼,IV,아이보리,F,판매
45,2024-01-04,직영점,A0006,부산하단점,4,정상,일반판매,AKK3KT002,C-살롱반폴니트,BK,블랙,F,판매
46,2024-01-04,직영점,A0006,부산하단점,5,정상,일반판매,AKK7JP003,J-파스텔단추덕다운,PP,퍼플,F,판매
47,2024-01-04,직영점,A0006,부산하단점,6,정상,일반판매,AKJ3KT004,C-모아니반폴니트,BR,브라운,F,판매
48,2024-01-05,직영점,A0006,부산하단점,1,정상,일반판매,AKK7VT002,J-로티덕다운조끼,BK,블랙,F,판매
49,2024-01-05,직영점,A0006,부산하단점,1,정상,일반판매,AKL7KT018,P3-라운드M니트,GR,회색,F,판매
50,2024-01-05,직영점,A0006,부산하단점,2,정상,일반판매,BKL7MF001,모닝퍼머플러,GR,회색,F,판매
51,2024-01-05,직영점,A0006,부산하단점,3,기획,일반판매,AKL7KT002,P-윈터폴라니트,GE,그린,F,판매
52,2024-01-05,직영점,A0006,부산하단점,4,정상,일반판매,BKL4CP005,라쿤돌돌베레,DB,다크베이지,F,판매
53,2024-01-05,직영점,A0006,부산하단점,5,정상,일반판매,BKJ3CP005,양털리본보넷,CM,카멜,F,판매
54,2024-01-05,직영점,A0006,부산하단점,5,기획,일반판매,AKJ7TS001,J-베이직폴라T,GE,그린,F,판매
55,2024-01-05,직영점,A0006,부산하단점,6,정상,일반판매,AKK3PT002,C-더치골덴통바지(기모),CH,챠콜,M,판매
56,2024-01-05,직영점,A0006,부산하단점,7,정상,일반판매,AKK3PT006,S-시보리기모배기팬츠,BK,블랙,L,판매
57,2024-01-05,직영점,A0006,부산하단점,8,정상,일반판매,AKL7JP011,P3-노멀덕다운롱패딩,BR,브라운,F,판매
58,2024-01-05,직영점,A0006,부산하단점,9,정상,일반판매,AKL7JP011,P3-노멀덕다운롱패딩,BR,브라운,F,반품
59,2024-01-06,직영점,A0006,부산하단점,1,정상,일반판매,AKI7VT012,J-엠보퍼조끼,BK,블랙,F,판매
60,2024-01-06,직영점,A0006,부산하단점,2,정상,일반판매,AIJ3DP004,S-청나팔팬츠,DL,진청,M,판매
61,2024-01-06,직영점,A0006,부산하단점,2,정상,일반판매,AKJ3JP003,C-보니프릴점퍼,BE,베이지,F,판매
62,2024-01-06,직영점,A0006,부산하단점,2,정상,일반판매,AKL3DP002,S-샌디와이드기모데님,DL,진청,M,판매
63,2024-01-06,직영점,A0006,부산하단점,3,정상,일반판매,AKK3PT003,C-기모포켓골덴통팬츠,GE,그린,F,판매
64,2024-01-06,직영점,A0006,부산하단점,3,기획,일반판매,AKK7TS002,P-폴라기모T,BG,청록색,F,판매
65,2024-01-06,직영점,A0006,부산하단점,3,정상,일반판매,AKL7JP012,P3-무스탕덕다운패딩,BK,블랙,F,판매
66,2024-01-06,직영점,A0006,부산하단점,4,정상,일반판매,BKI4SC003,데일리삭스(3pcs),XX,XX,F,판매
67,2024-01-07,직영점,A0006,부산하단점,1,정상,일반판매,BKL7MF007,하운드니트고리,BK,블랙,F,판매
68,2024-01-07,직영점,A0006,부산하단점,2,정상,일반판매,BKL7MF003,스퀘어니트고리,BK,블랙,F,판매
69,2024-01-07,직영점,A0006,부산하단점,3,정상,일반판매,AKK7JP003,J-파스텔단추덕다운,PP,퍼플,F,판매
70,2024-01-07,직영점,A0006,부산하단점,4,정상,일반판매,AKK7JP003,J-파스텔단추덕다운,PP,퍼플,F,판매
71,2024-01-07,직영점,A0006,부산하단점,5,정상,일반판매,AKK7JP003,J-파스텔단추덕다운,PP,퍼플,F,반품
72,2024-01-07,직영점,A0006,부산하단점,6,정상,일반판매,AKL3DP002,S-샌디와이드기모데님,DL,진청,L,판매
73,2024-01-07,직영점,A0006,부산하단점,6,정상,일반판매,BKL3CP001,패딩자수버킷햇,IV,아이보리,F,판매
74,2024-01-07,직영점,A0006,부산하단점,7,기획,일반판매,AKK7JP012,P-벨티드덕다운패딩,KH,카키,L,판매
75,2024-01-08,직영점,A0006,부산하단점,1,정상,일반판매,AKK3KT002,C-살롱반폴니트,LB,연한베이지,F,판매
76,2024-01-08,직영점,A0006,부산하단점,2,정상,일반판매,AKJ3KT004,C-모아니반폴니트,BR,브라운,F,판매
77,2024-01-08,직영점,A0006,부산하단점,2,정상,일반판매,AKK3KT002,C-살롱반폴니트,CR,크림,F,판매
78,2024-01-08,직영점,A0006,부산하단점,2,정상,일반판매,BKD4SC003,퓨어진주덧신,BK,블랙,F,판매
79,2024-01-08,직영점,A0006,부산하단점,3,정상,일반판매,AKI7CA002,J-스타홀스가디건,IV,아이보리,F,판매
80,2024-01-08,직영점,A0006,부산하단점,4,정상,일반판매,AKK7KT015,J-해피반폴니트,BK,블랙,F,판매
81,2024-01-08,직영점,A0006,부산하단점,5,기획,일반판매,AKK7JP019,P-샤인후드덕다운,BK,블랙,F,판매
82,2024-01-09,직영점,A0006,부산하단점,1,정상,일반판매,AKK3JP005,S-엠보패딩점퍼,BG,청록색,F,판매
83,2024-01-09,직영점,A0006,부산하단점,1,정상,일반판매,AKK3JP005,S-엠보패딩점퍼,BK,블랙,F,판매
