?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분,대분류,년,월,주차,복종,넘버
1,2024-01-01,직영점,A0086,부산구서점(직),1,정상,일반판매,AKL3JP011,S-뒷주름퍼JP,BE,베이지,F,판매,의류,2023,12월,3,점퍼,011
2,2024-01-01,직영점,A0086,부산구서점(직),2,정상,일반판매,AKL7KT017,P3-셀폴라니트,GR,회색,F,판매,의류,2023,12월,7,니트,017
3,2024-01-01,직영점,A0086,부산구서점(직),3,정상,일반판매,AKL3PT006,C-올리기모와이드슬랙스,BK,블랙,L,판매,의류,2023,12월,3,바지,006
4,2024-01-01,직영점,A0086,부산구서점(직),4,기획,일반판매,AKJ7TS001,J-베이직폴라T,BK,블랙,F,판매,의류,2023,10월,7,티셔츠,001
5,2024-01-01,직영점,A0086,부산구서점(직),5,정상,일반판매,BJK4SB009,세무하이탑(9541),BK,블랙,35,판매,잡화,2022,11월,4,신발,009
6,2024-01-02,직영점,A0086,부산구서점(직),1,정상,일반판매,BKB7BG009,스카이크로스백,BK,블랙,F,판매,잡화,2023,2월,7,가방,009
7,2024-01-02,직영점,A0086,부산구서점(직),2,정상,일반판매,AIK7DP001,무릎절개해지청,DL,진청,F,판매,의류,2021,11월,7,데님,001
8,2024-01-02,직영점,A0086,부산구서점(직),3,정상,일반판매,AKJ7JP006,J-무브덕다운점퍼,GR,회색,F,반품,의류,2023,10월,7,점퍼,006
9,2024-01-02,직영점,A0086,부산구서점(직),3,정상,일반판매,AKK3PT005,C-스타기모통(23),OT,오트밀,L,반품,의류,2023,11월,3,바지,005
10,2024-01-02,직영점,A0086,부산구서점(직),4,정상,일반판매,AKJ7JP006,J-무브덕다운점퍼,PK,핑크,F,판매,의류,2023,10월,7,점퍼,006
11,2024-01-02,직영점,A0086,부산구서점(직),4,정상,일반판매,AKK3PT005,C-스타기모통(23),OT,오트밀,L,판매,의류,2023,11월,3,바지,005
12,2024-01-03,직영점,A0086,부산구서점(직),1,정상,일반판매,AKK3DP005,C-기모와이드블랙진,BK,블랙,L,판매,의류,2023,11월,3,데님,005
13,2024-01-03,직영점,A0086,부산구서점(직),1,정상,일반판매,AKK3PT004,C-스타기모시보리팬츠,OT,오트밀,L,판매,의류,2023,11월,3,바지,004
14,2024-01-03,직영점,A0086,부산구서점(직),1,정상,일반판매,AKK7KT014,J-스케치래빗니트,PK,핑크,F,판매,의류,2023,11월,7,니트,014
15,2024-01-03,직영점,A0086,부산구서점(직),1,정상,일반판매,AKK7KT014,J-스케치래빗니트,BE,베이지,F,판매,의류,2023,11월,7,니트,014
16,2024-01-03,직영점,A0086,부산구서점(직),1,정상,일반판매,AKJ7JP013,J-카라덕다운점퍼,BK,블랙,F,판매,의류,2023,10월,7,점퍼,013
17,2024-01-03,직영점,A0086,부산구서점(직),1,정상,일반판매,BKL7MF001,모닝퍼머플러,BE,베이지,F,판매,잡화,2023,12월,7,머플러,001
18,2024-01-03,직영점,A0086,부산구서점(직),2,정상,일반판매,AKK3DP005,C-기모와이드블랙진,BK,블랙,L,반품,의류,2023,11월,3,데님,005
19,2024-01-03,직영점,A0086,부산구서점(직),2,정상,일반판매,AKK3PT004,C-스타기모시보리팬츠,OT,오트밀,L,반품,의류,2023,11월,3,바지,004
20,2024-01-03,직영점,A0086,부산구서점(직),2,정상,일반판매,AKK7KT014,J-스케치래빗니트,PK,핑크,F,반품,의류,2023,11월,7,니트,014
21,2024-01-03,직영점,A0086,부산구서점(직),2,정상,일반판매,AKK7KT014,J-스케치래빗니트,BE,베이지,F,반품,의류,2023,11월,7,니트,014
22,2024-01-03,직영점,A0086,부산구서점(직),2,정상,일반판매,AKJ7JP013,J-카라덕다운점퍼,BK,블랙,F,반품,의류,2023,10월,7,점퍼,013
23,2024-01-03,직영점,A0086,부산구서점(직),2,정상,일반판매,BKL7MF001,모닝퍼머플러,BE,베이지,F,반품,잡화,2023,12월,7,머플러,001
24,2024-01-03,직영점,A0086,부산구서점(직),3,정상,일반판매,BKL7MF001,모닝퍼머플러,BE,베이지,F,판매,잡화,2023,12월,7,머플러,001
25,2024-01-03,직영점,A0086,부산구서점(직),3,정상,일반판매,AKK7KT014,J-스케치래빗니트,PK,핑크,F,판매,의류,2023,11월,7,니트,014
26,2024-01-03,직영점,A0086,부산구서점(직),3,정상,일반판매,AKK3PT004,C-스타기모시보리팬츠,OT,오트밀,L,판매,의류,2023,11월,3,바지,004
27,2024-01-03,직영점,A0086,부산구서점(직),3,정상,일반판매,AKK3DP005,C-기모와이드블랙진,BK,블랙,L,판매,의류,2023,11월,3,데님,005
28,2024-01-03,직영점,A0086,부산구서점(직),3,정상,일반판매,AKJ7JP013,J-카라덕다운점퍼,BK,블랙,F,판매,의류,2023,10월,7,점퍼,013
29,2024-01-03,직영점,A0086,부산구서점(직),4,정상,일반판매,AKK7KT014,J-스케치래빗니트,PK,핑크,F,판매,의류,2023,11월,7,니트,014
30,2024-01-03,직영점,A0086,부산구서점(직),4,정상,일반판매,AKK7KT014,J-스케치래빗니트,BE,베이지,F,판매,의류,2023,11월,7,니트,014
31,2024-01-03,직영점,A0086,부산구서점(직),5,정상,일반판매,AJK7VT006,라인다운조끼,BE,베이지,F,판매,의류,2022,11월,7,베스트,006
32,2024-01-03,직영점,A0086,부산구서점(직),6,정상,일반판매,AJL7VT003,꽃패치조끼,BE,베이지,F,판매,의류,2022,12월,7,베스트,003
33,2024-01-03,직영점,A0086,부산구서점(직),7,정상,일반판매,AKL7JP013,P4-배색라인덕다운,BE,베이지,F,반품,의류,2023,12월,7,점퍼,013
34,2024-01-03,직영점,A0086,부산구서점(직),7,정상,일반판매,AKK7VT002,J-로티덕다운조끼,BK,블랙,F,반품,의류,2023,11월,7,베스트,002
35,2024-01-03,직영점,A0086,부산구서점(직),8,정상,일반판매,AJA3JP005,S-레터링막스JP,IV,아이보리,F,판매,의류,2022,1월,3,점퍼,005
36,2024-01-03,직영점,A0086,부산구서점(직),8,정상,일반판매,AKK7VT002,J-로티덕다운조끼,BK,블랙,F,판매,의류,2023,11월,7,베스트,002
37,2024-01-03,직영점,A0086,부산구서점(직),9,기획,일반판매,AKL7KT003,P-로제폴라니트,BK,블랙,F,판매,의류,2023,12월,7,니트,003
38,2024-01-03,직영점,A0086,부산구서점(직),10,정상,일반판매,AKI3PT015,C-타로코튼와이드팬츠,BE,베이지,L,판매,의류,2023,9월,3,바지,015
39,2024-01-03,직영점,A0086,부산구서점(직),10,정상,일반판매,AKI3PT015,C-타로코튼와이드팬츠,BK,블랙,L,판매,의류,2023,9월,3,바지,015
40,2024-01-04,직영점,A0086,부산구서점(직),1,정상,일반판매,AIA7JP004,양털쉘파JP ,BE,베이지,L,판매,의류,2021,1월,7,점퍼,004
41,2024-01-04,직영점,A0086,부산구서점(직),2,기획,일반판매,AKL7PT001,P-미우밴딩팬츠,BR,브라운,S,판매,의류,2023,12월,7,바지,001
42,2024-01-04,직영점,A0086,부산구서점(직),3,정상,일반판매,BKK4MF003,플라워울삼각,PK,핑크,F,판매,잡화,2023,11월,4,머플러,003
43,2024-01-04,직영점,A0086,부산구서점(직),4,정상,일반판매,AKK7JP021,J-컬러링퍼후드점퍼,GE,그린,F,판매,의류,2023,11월,7,점퍼,021
44,2024-01-04,직영점,A0086,부산구서점(직),5,기획,일반판매,AKK7JP024,P-비조폭스구스다운,BG,청록색,F,판매,의류,2023,11월,7,점퍼,024
45,2024-01-04,직영점,A0086,부산구서점(직),6,기획,일반판매,AKK7JP024,P-비조폭스구스다운,BG,청록색,F,반품,의류,2023,11월,7,점퍼,024
46,2024-01-04,직영점,A0086,부산구서점(직),7,기획,일반판매,AKK7JP024,P-비조폭스구스다운,BG,청록색,F,판매,의류,2023,11월,7,점퍼,024
47,2024-01-04,직영점,A0086,부산구서점(직),8,정상,일반판매,AKK7KT021,J-파인단추니트,MO,모카,F,판매,의류,2023,11월,7,니트,021
48,2024-01-04,직영점,A0086,부산구서점(직),8,정상,일반판매,AKK7VT021,J-폴라집업조끼,GR,회색,F,판매,의류,2023,11월,7,베스트,021
49,2024-01-04,직영점,A0086,부산구서점(직),9,기획,일반판매,AKL7KT003,P-로제폴라니트,IV,아이보리,F,판매,의류,2023,12월,7,니트,003
50,2024-01-04,직영점,A0086,부산구서점(직),10,정상,일반판매,AKL3JP011,S-뒷주름퍼JP,BK,블랙,F,판매,의류,2023,12월,3,점퍼,011
51,2024-01-04,직영점,A0086,부산구서점(직),11,정상,일반판매,AKJ7KT003,J-큐빅골지니트,BR,브라운,F,반품,의류,2023,10월,7,니트,003
52,2024-01-04,직영점,A0086,부산구서점(직),11,정상,일반판매,AKL7KT017,P3-셀폴라니트,BK,블랙,F,반품,의류,2023,12월,7,니트,017
53,2024-01-04,직영점,A0086,부산구서점(직),11,정상,일반판매,AKK7VT021,J-폴라집업조끼,GR,회색,F,반품,의류,2023,11월,7,베스트,021
54,2024-01-04,직영점,A0086,부산구서점(직),11,정상,일반판매,AKK3PT007,S-기모건빵바지,BK,블랙,M,반품,의류,2023,11월,3,바지,007
55,2024-01-04,직영점,A0086,부산구서점(직),12,정상,일반판매,AKJ7KT003,J-큐빅골지니트,BR,브라운,F,판매,의류,2023,10월,7,니트,003
56,2024-01-04,직영점,A0086,부산구서점(직),12,정상,일반판매,AKL7KT017,P3-셀폴라니트,BK,블랙,F,판매,의류,2023,12월,7,니트,017
57,2024-01-04,직영점,A0086,부산구서점(직),12,정상,일반판매,AKK7VT021,J-폴라집업조끼,GR,회색,F,판매,의류,2023,11월,7,베스트,021
