?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분,대분류,년,월,주차,복종,넘버
1,2024-01-02,직영점,A0070,부산만덕점(직),1,정상,20% 할인(직원할인),AKK7KT015,J-해피반폴니트,GE,그린,F,판매,의류,2023,11월,7,니트,15
2,2024-01-02,직영점,A0070,부산만덕점(직),1,정상,20% 할인(직원할인),AKK3PT013,C-시보리골덴배기(기모),KH,카키,M,판매,의류,2023,11월,3,바지,13
3,2024-01-02,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKK7VT021,J-폴라집업조끼,GR,회색,F,판매,의류,2023,11월,7,베스트,21
4,2024-01-02,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKK7VT021,J-폴라집업조끼,IV,아이보리,F,판매,의류,2023,11월,7,베스트,21
5,2024-01-02,직영점,A0070,부산만덕점(직),3,정상,일반판매,BJJ4CP006,체크패딩모자,BK,블랙,F,판매,잡화,2022,10월,4,모자,6
6,2024-01-02,직영점,A0070,부산만덕점(직),4,정상,일반판매,AJK7KT011,하트소녀니트,BL,블루,F,판매,의류,2022,11월,7,니트,11
7,2024-01-03,직영점,A0070,부산만덕점(직),1,정상,일반판매,BKL7BG013,J-트론백팩,BK,블랙,F,판매,잡화,2023,12월,7,가방,13
8,2024-01-03,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKL7JP012,P3-무스탕덕다운패딩,BE,베이지,F,판매,의류,2023,12월,7,점퍼,12
9,2024-01-04,직영점,A0070,부산만덕점(직),1,기획,일반판매,AKK7JP016,P-토니덕다운점퍼,BE,베이지,F,판매,의류,2023,11월,7,점퍼,16
10,2024-01-04,직영점,A0070,부산만덕점(직),2,정상,일반판매,BKL7MF004,와플니트고리,YE,옐로우,F,판매,잡화,2023,12월,7,머플러,4
11,2024-01-04,직영점,A0070,부산만덕점(직),3,정상,일반판매,BKL4MF001,울제비니트고리,BK,블랙,F,판매,잡화,2023,12월,4,머플러,1
12,2024-01-04,직영점,A0070,부산만덕점(직),4,정상,일반판매,AEK1PT602,오발 캐주얼 바지,GR,회색,M,판매,의류,2017,11월,1,바지,602
13,2024-01-04,직영점,A0070,부산만덕점(직),5,정상,일반판매,AJK3JK002,S-차이나퍼JK,IV,아이보리,F,판매,의류,2022,11월,3,자켓,2
14,2024-01-05,직영점,A0070,부산만덕점(직),1,정상,일반판매,AEJ1KN201,슬로베니아 니트케이프,BK,블랙,M,판매,의류,2017,10월,1,니트나시,201
15,2024-01-06,직영점,A0070,부산만덕점(직),1,기획,일반판매,AKL7DP003,P-포켓데님배기,ML,중청,L,판매,의류,2023,12월,7,데님,3
16,2024-01-06,직영점,A0070,부산만덕점(직),2,정상,일반판매,AEK1VT401,가죽 롱 원피스코트,BR,브라운,L,판매,의류,2017,11월,1,베스트,401
17,2024-01-06,직영점,A0070,부산만덕점(직),3,정상,일반판매,AEK1VT401,가죽 롱 원피스코트,BR,브라운,L,판매,의류,2017,11월,1,베스트,401
18,2024-01-08,직영점,A0070,부산만덕점(직),1,정상,일반판매,BKL4GV001,잔꽃포근장갑,XX,XX,F,판매,잡화,2023,12월,4,장갑,1
19,2024-01-08,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKK7VT015,J-엘라퍼조끼,BR,브라운,F,판매,의류,2023,11월,7,베스트,15
20,2024-01-08,직영점,A0070,부산만덕점(직),2,정상,일반판매,BKL4MF003,메모링니트머플러,BK,블랙,F,판매,잡화,2023,12월,4,머플러,3
21,2024-01-08,직영점,A0070,부산만덕점(직),3,정상,일반판매,AKI3PT016,C-시크릿밴드배기,BE,베이지,M,판매,의류,2023,9월,3,바지,16
22,2024-01-08,직영점,A0070,부산만덕점(직),3,정상,일반판매,AKI3PT016,C-시크릿밴드배기,BE,베이지,L,판매,의류,2023,9월,3,바지,16
23,2024-01-08,직영점,A0070,부산만덕점(직),4,정상,일반판매,AKI3PT016,C-시크릿밴드배기,BE,베이지,M,판매,의류,2023,9월,3,바지,16
24,2024-01-08,직영점,A0070,부산만덕점(직),5,정상,일반판매,AEI1TS301,베네치아 프릴 터틀넥 풀오버,GE,그린,M,판매,의류,2017,9월,1,티셔츠,301
25,2024-01-08,직영점,A0070,부산만덕점(직),5,정상,일반판매,BKL4CP016,뜨뜨귀꽈배기햇,LB,연한베이지,F,판매,잡화,2023,12월,4,모자,16
26,2024-01-09,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKI7CA006,J-퍼프카라가디건,BK,블랙,F,판매,의류,2023,9월,7,가디건,6
27,2024-01-09,직영점,A0070,부산만덕점(직),1,기획,일반판매,AKL7PT001,P-미우밴딩팬츠,BR,브라운,M,판매,의류,2023,12월,7,바지,1
28,2024-01-09,직영점,A0070,부산만덕점(직),2,정상,일반판매,AIK7KT001,레이스브이넥KT,GR,회색,F,판매,의류,2021,11월,7,니트,1
29,2024-01-09,직영점,A0070,부산만덕점(직),2,기획,일반판매,AKK7TS002,P-폴라기모T,MO,모카,F,판매,의류,2023,11월,7,티셔츠,2
30,2024-01-09,직영점,A0070,부산만덕점(직),3,정상,일반판매,BKL4CP005,라쿤돌돌베레,KH,카키,F,판매,잡화,2023,12월,4,모자,5
31,2024-01-09,직영점,A0070,부산만덕점(직),4,정상,일반판매,AKK7VT021,J-폴라집업조끼,GR,회색,F,판매,의류,2023,11월,7,베스트,21
32,2024-01-10,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKK3PT015,C-윈디울부츠컷,CH,챠콜,L,판매,의류,2023,11월,3,바지,15
33,2024-01-10,직영점,A0070,부산만덕점(직),2,정상,20% 할인(직원할인),AKK7JP011,J-뽀글후드집업,BR,브라운,F,판매,의류,2023,11월,7,점퍼,11
34,2024-01-10,직영점,A0070,부산만덕점(직),2,정상,20% 할인(직원할인),AKL7KT008,J-스트라이프니트,BE,베이지,F,판매,의류,2023,12월,7,니트,8
35,2024-01-11,직영점,A0070,부산만덕점(직),1,정상,일반판매,AEI2BL602,샌디에고 데님셔츠 점퍼,BL,블루,M,판매,의류,2017,9월,2,블라우스,602
36,2024-01-11,직영점,A0070,부산만덕점(직),1,기획,일반판매,AKL7PT002,P-버클부츠컷슬랙스,BK,블랙,L,판매,의류,2023,12월,7,바지,2
37,2024-01-11,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKK7KT014,J-스케치래빗니트,,네이비,F,판매,의류,2023,11월,7,니트,14
38,2024-01-11,직영점,A0070,부산만덕점(직),2,정상,일반판매,AIL3TS011,Q-리틀베어,BL,블루,F,판매,의류,2021,12월,3,티셔츠,11
39,2024-01-11,직영점,A0070,부산만덕점(직),3,기획,일반판매,AKK7JP012,P-벨티드덕다운패딩,KH,카키,L,판매,의류,2023,11월,7,점퍼,12
40,2024-01-11,직영점,A0070,부산만덕점(직),4,정상,일반판매,AKI7TS002,J-비즈가방T,OR,오렌지,F,판매,의류,2023,9월,7,티셔츠,2
41,2024-01-11,직영점,A0070,부산만덕점(직),5,정상,20% 할인(직원할인),AKI3PT005,C-사이드라인배기,BK,블랙,L,판매,의류,2023,9월,3,바지,5
42,2024-01-11,직영점,A0070,부산만덕점(직),5,정상,일반판매,AKL7KT017,P3-셀폴라니트,BK,블랙,F,판매,의류,2023,12월,7,니트,17
43,2024-01-11,직영점,A0070,부산만덕점(직),5,정상,일반판매,AKL7KT020,P3-크로스폴라니트,BE,베이지,F,판매,의류,2023,12월,7,니트,20
