?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분,대분류,년,월,주차,복종,넘버
1,2024-01-02,직영점,A0020,부산모라점(직),1,정상,일반판매,BKJ3CP005,양털리본보넷,KH,카키,F,판매,잡화,2023,10월,3,모자,005
2,2024-01-02,직영점,A0020,부산모라점(직),2,정상,일반판매,AKL7JP013,P4-배색라인덕다운,PP,퍼플,F,판매,의류,2023,12월,7,점퍼,013
3,2024-01-02,직영점,A0020,부산모라점(직),3,정상,일반판매,KKF3AK002,KC-도트홀스니트,IV,아이보리,F,판매,이벤트상품,2023,6월,3,스크래치특가,002
4,2024-01-02,직영점,A0020,부산모라점(직),3,정상,일반판매,AKK7CT001,J-후드핸드메이드코트,BR,브라운,F,판매,의류,2023,11월,7,코트,001
5,2024-01-02,직영점,A0020,부산모라점(직),4,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매,커피,2013,사계절,0,커피,002
6,2024-01-02,직영점,A0020,부산모라점(직),5,정상,일반판매,AKL7KT017,P3-셀폴라니트,GR,회색,F,판매,의류,2023,12월,7,니트,017
7,2024-01-02,직영점,A0020,부산모라점(직),6,정상,일반판매,AKL3KT003,S-크림폴라KT,IV,아이보리,F,판매,의류,2023,12월,3,니트,003
8,2024-01-03,직영점,A0020,부산모라점(직),1,정상,일반판매,BKL4GV005,민들레반장갑,XX,XX,F,판매,잡화,2023,12월,4,장갑,005
9,2024-01-03,직영점,A0020,부산모라점(직),2,정상,일반판매,AKK7KT014,J-스케치래빗니트,,네이비,F,판매,의류,2023,11월,7,니트,014
10,2024-01-03,직영점,A0020,부산모라점(직),3,정상,일반판매,AKK3DP007,C-헤비와이드기모부츠컷데님,DL,진청,M,판매,의류,2023,11월,3,데님,007
11,2024-01-04,직영점,A0020,부산모라점(직),1,기획,일반판매,AKL7KT003,P-로제폴라니트,BK,블랙,F,판매,의류,2023,12월,7,니트,003
