상품코드,상품명,사이즈,판매금액,MappedValue,년도,월
AFJ3KT007,C-깃털자수,Free,39000,니트,2018,10월 1일
AFI3DP001,C-3985부츠컷,M,34500,데님,2018,9월 1일
AFJ7SK002,C-그라데이션SK,Free,29000,스커트,2018,10월 1일
AFA2TS104,막스버튼티,L,19500,티셔츠,2018,1월 1일
AGC3VT008,M-쉬폰조끼,Free,49000,베스트,2019,3월 1일
AEK1JP301,메이플 후드 점퍼,XL,69300,점퍼,2017,11월 1일
AEI1KN701,파스칼 펄 슬림핏 니트풀오버,L,19000,니트나시,2017,9월 1일
AEK1OP602,로고 패치 원피스,Free,29000,원피스,2017,11월 1일
AEI2CA502,허드슨 포멀 니트코트,L,59000,가디건,2017,9월 1일
AFH3OP011,C-커트지OPS,Free,24500,원피스,2018,8월 1일
AIG3VT006,S-쭈리조끼,Free,79000,베스트,2021,7월 1일
AGI3PT003,M-디젤SL,M,19000,바지,2019,9월 1일
AGE7TS003,찰리BT,Free,39000,티셔츠,2019,5월 1일
AEK1KN704,넥 포인트 니트,Free,19000,니트나시,2017,11월 1일
AEL7VT805,단추포켓조끼,Free,62300,베스트,2017,12월 1일
AEK1VT701,반목 롱 니트조끼,Free,29000,베스트,2017,11월 1일
AFA2VT304,언발롱J,Free,16500,베스트,2018,1월 1일
AFA2KT901,피셔R,Free,16500,니트,2018,1월 1일
AEK1SK201,플라워 프린트 풀 스커트,XL,49000,스커트,2017,11월 1일
AID3PT009,Q-언발끈배기,L,59000,바지,2021,4월 1일
AEI1PT301,라미에 니트 터키쉬 팬츠,M,19000,바지,2017,9월 1일
AEJ1OP501,리옹 후드 슬리브리스 코튼원피스,L,19000,원피스,2017,10월 1일
AEH1PT301,젠 아방가르드 실켓모달 터키팬츠,L,19000,바지,2017,8월 1일
AEH1CT601,토즈 데님 사파리 자켓,M,29000,코트,2017,8월 1일
AFJ7CA009,C-단추포켓가디건,Free,49000,가디건,2018,10월 1일
